SCHOOL_YEAR,ST,LEA_NAME,ST_LEAID,LEAID,LSTREET1,LSTREET2,LSTREET3,LCITY,LZIP,WEBSITE,G_PK_OFFERED,GSLO,GSHI
2023-2024,NJ,Great Meadows Regional School District,NJ-411785,3400008,281 Route 46,NA,NA,Great Meadows,07838,http://www.gmrsd.com,Yes,PK,08
2023-2024,NJ,Absecon Public Schools District,NJ-010010,3400660,800 Irelan Avenue,NA,NA,Absecon,08201,http://www.abseconschools.org/,Yes,PK,08
2023-2024,NJ,Alexandria Township School District,NJ-190020,3400690,557 County Road 513,NA,NA,Pittstown,08867,http://www.alexandriaschools.org,Yes,PK,08
2023-2024,NJ,Allamuchy Township School District,NJ-410030,3400720,20 Johnsonburg Road,NA,NA,Allamuchy,07820,http://www.aes.k12.nj.us,Yes,PK,08
2023-2024,NJ,Allendale Public School District,NJ-030040,3400750,100 Brookside Avenue,NA,NA,Allendale,07401,http://www.allendalek8.com,Yes,PK,08
2023-2024,NJ,Alloway Twp School District,NJ-330060,3400810,43 Cedar Street,NA,NA,ALLOWAY,08001,http://www.allowayschool.org,Yes,PK,08
2023-2024,NJ,Alpha Borough School District,NJ-410070,3400840,817 North Blvd.,NA,NA,Alpha,08865,http://www.apsedu.org,Yes,PK,08
2023-2024,NJ,Alpine Public School District,NJ-030080,3400870,500 Hillside Ave.,NA,NA,Alpine,07620,http://www.alpineschool.org,No,KG,08
2023-2024,NJ,Andover Regional School District,NJ-370090,3400900,707 Limecrest Rd.,NA,NA,Newton,07860,http://www.andoverregional.org,Yes,PK,08
2023-2024,NJ,Atlantic Highlands School District,NJ-250130,3401020,140 First Avenue,NA,NA,Atlantic Highlands,07716,http://ahes.tridistrict.org/,Yes,PK,06
2023-2024,NJ,Avon Boro School District,NJ-250180,3401140,505 LINCOLN AVE,NA,NA,AVON,07717,http://WWW.AVONSCHOOL.COM,Yes,PK,08
2023-2024,NJ,Barrington School District,NJ-070190,3401170,311 Reading Avenue,NA,NA,Barrington,08007,http://www.barringtonschools.net,Yes,PK,08
2023-2024,NJ,Bay Head Borough School District,NJ-290210,3401230,145 Grove Street,NA,NA,Bay Head,08742,http://www.bayheadschool.org,No,KG,08
2023-2024,NJ,Beach Haven School District,NJ-290230,3401290,700 North Beach Ave.,NA,NA,Beach Haven,08008,http://www.BeachHavenSchool.com,Yes,PK,06
2023-2024,NJ,Bedminster Township Public School District,NJ-350240,3401320,234 Somerville Road,NA,NA,Bedminster,07921,http://www.bedminsterschool.org,Yes,PK,08
2023-2024,NJ,Bellmawr Public School District,NJ-070260,3401380,256 Anderson Ave,NA,NA,Bellmawr,08031,http://www.bellmawrschools.org,Yes,PK,08
2023-2024,NJ,Belmar Elementary School District,NJ-250270,3401410,1101 Main St,NA,NA,Belmar,07719,http://www.belmar.k12.nj.us,Yes,PK,08
2023-2024,NJ,Berkeley Township School District,NJ-290320,3401560,53 Central Parkway,NA,NA,Bayville,08721,http://www.btboe.org,Yes,PK,06
2023-2024,NJ,Berlin Borough School District,NJ-070330,3401590,215 South Franklin Avenue,NA,NA,Berlin,08009,http://www.bcsberlin.org,Yes,PK,08
2023-2024,NJ,Berlin Township School District,NJ-070340,3401620,225 Grove Avenue,NA,NA,West Berlin,08091,http://www.btwpschools.org,Yes,PK,08
2023-2024,NJ,Bethlehem Township School District,NJ-190370,3401710,280 Asbury West Portal Road,NA,NA,Asbury,08802,http://www.btschools.org,Yes,PK,08
2023-2024,NJ,Beverly City School District,NJ-050380,3401740,601 Bentley Ave.,NA,NA,Beverly,08010,http://www.beverlycityschool.org,Yes,PK,08
2023-2024,NJ,Blairstown Elementary Township School District,NJ-410400,3401800,1 Sunset Hill Road,NA,NA,Blairstown,07825,http://www.blairstownelem.net,Yes,PK,06
2023-2024,NJ,Bloomingdale School District,NJ-310420,3401860,225 Glenwild Avenue,NA,NA,Bloomingdale,07403,http://www.bloomingdaleschools.org,Yes,PK,08
2023-2024,NJ,Bloomsbury Borough School District,NJ-190430,3401890,20 Main Street,NA,NA,Bloomsbury,08804,http://www.bburyes.org,Yes,PK,08
2023-2024,NJ,Boonton Township School District,NJ-270460,3401980,11 Valley Road,NA,NA,Boonton Township,07005,http://www.rvsnj.org,Yes,PK,08
2023-2024,NJ,Bradley Beach School District,NJ-250500,3402130,515 Brinley Avenue,NA,NA,Bradley Beach,07720,http://www.bbesnj.org,Yes,PK,08
2023-2024,NJ,Branchburg Township School District,NJ-350510,3402160,240 Baird Road,NA,NA,Branchburg,08876,http://www.branchburg.k12.nj.us,Yes,PK,08
2023-2024,NJ,Brielle Boro School District,NJ-250560,3402310,605 UNION LANE,NA,NA,BRIELLE,08730,http://www.brielleschool.org,Yes,PK,08
2023-2024,NJ,Brigantine Public School District,NJ-010570,3402340,301 East Evans Boulevard,NA,NA,Brigantine,08203,http://www.brigantineschools.org,Yes,PK,08
2023-2024,NJ,Brooklawn Public School District,NJ-070580,3402370,301 Haakon Road,NA,NA,Brooklawn,08030,http://www.alicecostello.com,Yes,PK,08
2023-2024,NJ,Byram Township School District,NJ-370640,3402550,12 Mansfield Drive,NA,NA,Stanhope,07874,http://www.byramschools.org,Yes,PK,08
2023-2024,NJ,Califon Borough School District,NJ-190670,3402610,6 School St,NA,NA,Califon,07830,http://www.califonschool.org,Yes,PK,08
2023-2024,NJ,Cape May City School District,NJ-090710,3402700,921 Lafayette Street,NA,NA,Cape May,08204,http://www.cmcboe.org,Yes,PK,06
2023-2024,NJ,Carlstadt Public School District,NJ-030740,3402790,550 WASHINGTON STREET,NA,NA,CARLSTADT,07072,http://www.carlstadt.org,Yes,PK,08
2023-2024,NJ,Chester Township School District,NJ-270820,3403060,50 North Road,Building 4,NA,Chester,07930,http://www.chester-nj.org,Yes,PK,08
2023-2024,NJ,Chesterfield Township School District,NJ-050830,3403090,30 Saddle Way,NA,NA,Chesterfield,08515,http://www.chesterfieldschool.com,Yes,PK,06
2023-2024,NJ,Clementon Elementary School District,NJ-070880,3403240,4 Audubon Avenue,NA,NA,Clementon,08021,http://clementon.k12.nj.us,Yes,PK,08
2023-2024,NJ,Clinton-Glen Gardner School District,NJ-190910,3403330,10 School Street,NA,NA,Clinton,08809,http://cpsnj.org,Yes,PK,08
2023-2024,NJ,Clinton Township School District,NJ-190920,3403360,128 Cokesbury Road,NA,NA,Lebanon,08833,http://www.ctsdnj.org,Yes,PK,08
2023-2024,NJ,Closter Public School District,NJ-030930,3403390,340 Homans Avenue,NA,NA,Closter,07624,http://www.closterschools.org,Yes,PK,08
2023-2024,NJ,Colts Neck Township School District,NJ-250945,3403450,70 Conover Road,NA,NA,Colts Neck,07722,http://www.coltsneckschools.org,Yes,PK,08
2023-2024,NJ,Commercial Township School District,NJ-110950,3403480,1308 North Avenue,NA,NA,Port Norris,08349,http://www.commercialschools.org,Yes,PK,08
2023-2024,NJ,Cranbury Township School District,NJ-230970,3403540,23 North Main Street,NA,NA,Cranbury,08512,http://www.cranburyschool.org,Yes,PK,08
2023-2024,NJ,Deal Boro School District,NJ-251000,3403630,201 Roseld Ave,NA,NA,Deal,07723,http://www.dealschool.org,No,KG,08
2023-2024,NJ,Deerfield Township School District,NJ-111020,3403660,419 MORTON AVENUE,NA,NA,ROSENHAYN,08352,http://www.deerfield.k12.nj.us,Yes,PK,08
2023-2024,NJ,Delanco Township School District,NJ-051030,3403690,1301 Burlington Avenue,NA,NA,Delanco,08075,http://www.delanco.com,Yes,PK,08
2023-2024,NJ,Delaware Township School District,NJ-191040,3403720,501 Rosemont Ringoes Road,NA,NA,Sergeantsville,08557,http://www.dtsk8.org,Yes,PK,08
2023-2024,NJ,Demarest School District,NJ-031070,3403810,568 Piermont Road,NA,NA,Demarest,07627,http://demarestpublicschools.org,Yes,PK,08
2023-2024,NJ,Dennis Township School District,NJ-091080,3403840,601 HAGAN ROAD,NA,NA,CLERMONT,08210,http://www.dtschools.org,Yes,PK,08
2023-2024,NJ,Denville Township K-8 School District,NJ-271090,3403870,1 St. Mary's Place,2nd Floor,NA,Denville,07834,http://www.denville.org,Yes,PK,08
2023-2024,NJ,Downe Township School District,NJ-111120,3403960,220 Main Street,NA,NA,Newport,08345,http://www.downeschool.org,Yes,PK,08
2023-2024,NJ,Eagleswood Township School District,NJ-291150,3404050,511 Route 9,NA,NA,West Creek,08092,http://www.eagleswood.org,Yes,PK,06
2023-2024,NJ,East Amwell Township School District,NJ-191160,3404080,43 Wertsville Road,NA,NA,Ringoes,08551,http://www.eastamwell.org,Yes,PK,08
2023-2024,NJ,East Greenwich Township School District,NJ-151180,3404140,559 Kings Highway,NA,NA,Mickleton,08056,http://www.eastgreenwich.k12.nj.us,Yes,PK,06
2023-2024,NJ,East Hanover Township School District,NJ-271190,3404170,20 School Avenue,NA,NA,East Hanover,07936,http://www.easthanoverschools.org,Yes,PK,08
2023-2024,NJ,East Newark School District,NJ-171200,3404200,501-11 North Third Street,NA,NA,East Newark,07029,http://www.eastnewarkschool.org,No,KG,08
2023-2024,NJ,East Rutherford School District,NJ-031230,3404290,250 Grove Street,NA,NA,East Rutherford,07073,http://www.erboe.net,Yes,PK,08
2023-2024,NJ,Eastampton Township School District,NJ-051250,3404350,1 Student Drive,NA,NA,Eastampton,08060,http://www.etsdnj.us,Yes,PK,08
2023-2024,NJ,Eatontown Public School District,NJ-251260,3404410,5 Grant Avenue,NA,NA,Eatontown,07724,http://www.eatontown.org,Yes,PK,08
2023-2024,NJ,Edgewater School District,NJ-031270,3404440,251 Undercliff Ave,NA,NA,Edgewater,07020,http://www.edgewaterschools.org,Yes,PK,06
2023-2024,NJ,Edgewater Park Township School District,NJ-051280,3404470,25 Washington Avenue,NA,NA,Edgewater Park,08010,http://www.edgewaterparksd.org,Yes,PK,08
2023-2024,NJ,Egg Harbor City School District,NJ-011300,3404530,730 Havana Avenue,NA,NA,Egg Harbor City,08215,http://www.eggharborcityschools.com,Yes,PK,08
2023-2024,NJ,Elk Township School District,NJ-151330,3404620,900 Clems Run,NA,NA,Glassboro,08028,http://www.auraelementary.us,Yes,PK,06
2023-2024,NJ,Elsinboro Township School District,NJ-331350,3404680,631 Salem-Ft. Elfsborg Rd.,NA,NA,Salem,08079,http://www.elsinboroschool.org,No,KG,08
2023-2024,NJ,Englewood Cliffs School District,NJ-031380,3404770,143 Charlotte Place,NA,NA,Englewood Cliffs,07632,http://www.englewoodcliffs.org,Yes,PK,08
2023-2024,NJ,Essex Fells School District,NJ-131400,3404830,102 HAWTHORNE ROAD,NA,NA,ESSEX FELLS,07021,http://www.efsk-6.org,Yes,PK,06
2023-2024,NJ,Estell Manor School District,NJ-011410,3404860,128 Cape May Avenue,NA,NA,Estell Manor,08319,http://www.estellmanorschool.com,Yes,PK,08
