SCHOOL_YEAR,ST,LEA_NAME,ST_LEAID,LEAID,LSTREET1,LSTREET2,LSTREET3,LCITY,LZIP,WEBSITE,G_PK_OFFERED,GSLO,GSHI,GeoId,Geography,Edu_Less_9th,Edu_9th_12th_No_Diploma,Edu_HS_Grad,Edu_Some_College,Edu_Assoc_Degree,Edu_Bach_Degree,Edu_Grad_Prof_Degree,Edu_HS_or_Higher,Edu_Bach_or_Higher,Emp_Labor_Force,Emp_Fem_Labor_Force,Emp_Unemp_Rate,Enroll_Nursery,Enroll_Kindergarten,Enroll_Elem,Enroll_HS,Enroll_College,HH_Married_Children,HH_Avg_Size,Fam_Avg_Size,Housing_Units,Occ_Mgmt_Bus_Sci_Arts,Occ_Service,Occ_Sales_Office,Occ_Nat_Res_Const_Maint,Occ_Prod_Trans_Mat_Mov,Race_White,Race_Black,Race_Amer_Indian_Alaska,Race_Asian,Race_Hawaiian_Pacific,Race_Other,Pop_Under_18,HH_Med_Income,HH_Mean_Income,Fam_Med_Income,Fam_Mean_Income,Fam_Income_150k_199k,Fam_Income_200k_plus,HH_Income_150k_199k,HH_Income_200k_plus,km_euclid,km_maha,km_pc_scaled,km_pc_unscaled,hc_euclid_ward,hc_euclid_mcquitty,hc_pc_dist_scaled_ward,hc_pc_dist_scaled_mcquitty,hc_pc_dist_unscaled_ward,hc_pc_dist_unscaled_mcquitty,euclid_score,mah_score,PC1,PC2,district_name,per_pupil_cost,per_pupil_class_instruction,per_pupil_admin_cost,DistrictName,SchoolYear,mSGP_ELA,mSGP_Math,mSGP_ELA Grade 4,mSGP_ELA Grade 5,mSGP_ELA Grade 6,mSGP_ELA Grade 7,mSGP_ELA Grade 8,mSGP_Math Grade 4,mSGP_Math Grade 5,mSGP_Math Grade 6,mSGP_Math Grade 7,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,ELA_ME_Grade 03,ELA_ME_Grade 04,ELA_ME_Grade 05,ELA_ME_Grade 06,ELA_ME_Grade 07,ELA_ME_Grade 08,ELA_ME_Grade 09,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_ME_Algebra I,MATH_ME_Grade 03,MATH_ME_Grade 04,MATH_ME_Grade 05,MATH_ME_Grade 06,MATH_ME_Grade 07,MATH_ME_Grade 08,MATH_ME_Algebra II,MATH_ME_Geometry,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_School,TeacherAvgYearsExp_School,TeacherAvgYearsExpInDistrict_School,PercentageTeacherInDistrict4YearsOrMore_School,PercentageOfOutOfFieldTeachers,PercentageTeachersWithProvisionalCredentials_School,Chronic_Abs_Count,Chronic_Abs_Pct,Students with Disabilities,Economically Disadvantaged Students,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment,OfficialTotalEnrollment,student_teacher_ratio,student_admin_ratio,dist_colors
2023-2024,NJ,Great Meadows Regional School District,NJ-411785,3400008,281 Route 46,NA,NA,Great Meadows,07838,http://www.gmrsd.com,Yes,PK,08,9700000US3400008,"Great Meadows Regional School District, NJ",1.7,3.3,32,14.7,9.2,26.4,12.7,95,39.2,69.5,67,4.3,6.1,2.8,38.3,21.4,31.4,18.6,2.4,3.01,3518,39.2,18,23.7,9,10.1,95.2,1.9,0.9,2.5,0,4.9,16.9,96473,123007,109978,142128,12.1,20.2,8.4,14.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,261,23,1.2769382770152067,1.8631421908712311,Great Meadows Regional,18776,10697,1967,Great Meadows Regional School District,2023-24,42,52,45,44,47,26,31.5,39.5,57,72,37,57.5,17.5,67.6,NA,NA,NA,NA,NA,NA,NA,0.125289672544081,48.6,17.5,56.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0673737373737374,0.0696470588235294,12:1,165:1,54,13.8,11.5,85.2,1.9,7.4,95,15.4,20.4,15.6,40,72,63,78,63,72,71,72,72,58,0,0,0,0,661,650,12,165,Other
2023-2024,NJ,Absecon Public Schools District,NJ-010010,3400660,800 Irelan Avenue,NA,NA,Absecon,08201,http://www.abseconschools.org/,Yes,PK,08,9700000US3400660,"Absecon City School District, NJ",1.9,4.6,33.2,19.2,9.4,24.9,6.7,93.5,31.6,61.5,60.9,8.7,13.7,2.7,43.8,10.6,29.2,18.4,2.51,3.06,3755,38.3,27.3,22.2,3.4,8.8,83.6,12.1,2.2,4.1,0.6,11,22.3,73141,106976,92778,127396,8.2,9.3,6,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,379,179,3.302748764602444,0.27655780653331274,Absecon City,20107,12107,2293,Absecon Public Schools District,2023-24,55,58,37,48,74.5,68,42,29,54,71,65,49.1,13.2,56.3,NA,NA,NA,NA,NA,NA,NA,0.0942649727767695,35.3,10.9,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0376334519572954,0.0415032679738562,10:1,136:1,97,12.5,10.1,66,0,15.5,122,15.2,18.1,47.5,137,77,87,76,85,87,80,114,105,106,0,0,0,0,954,927,10,136,Other
2023-2024,NJ,Alexandria Township School District,NJ-190020,3400690,557 County Road 513,NA,NA,Pittstown,08867,http://www.alexandriaschools.org,Yes,PK,08,9500000US3400690,"Alexandria Township School District, NJ",0.8,3.5,16.8,12.9,5.9,39,21.1,95.7,60.2,57.8,46.1,7.9,2.5,0,46,30.5,20.9,25.5,2.68,3.07,1831,71.8,8.4,14.2,4.3,1.3,91.7,7.9,0.7,2,0.1,1.6,21.7,146133,186655,172143,208968,15.9,39.1,13.2,34,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,114,321,-3.6671292509752416,0.1731313080435813,Alexandria Twp,22450,13186,1945,Alexandria Township School District,2023-24,56,43,52,50,33,92.5,58,41,41,43,60,56.3,15.9,68.2,NA,NA,NA,NA,NA,NA,NA,0.137536231884058,41.7,11.3,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0555636363636364,0.056036866359447,9:1,85:1,47,9.7,8.9,70.2,10.6,2.1,44,11.1,20.9,1.6,32,42,33,38,54,34,37,52,44,59,0,0,0,0,425,423,9,85,Other
2023-2024,NJ,Allamuchy Township School District,NJ-410030,3400720,20 Johnsonburg Road,NA,NA,Allamuchy,07820,http://www.aes.k12.nj.us,Yes,PK,08,9700000US3400720,"Allamuchy Township School District, NJ",0.8,0.5,17.7,19.6,6.4,35.5,19.5,98.7,55,68.1,66.2,8.2,19.4,1.8,37.2,10.3,31.3,15.5,2.24,2.87,2369,67,10,15.6,1,6.3,91.8,7.1,0,1.4,0,2.8,17.5,124035,139690,156042,170178,21.3,29.9,14.7,19.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,216,360,-2.074014273589367,2.2616874802333156,Allamuchy Twp,17318,9931,2184,Allamuchy Township School District,2023-24,53,55,36,43,50.5,63,60.5,36,35,71,75,48.9,18,56,NA,NA,NA,NA,NA,NA,NA,0.090187969924812,44.8,20,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0513533834586466,0.0504694835680751,12:1,111:1,37,12.5,12.3,70.3,5.4,10.5,49,12.3,18.7,9.9,47,46,40,41,47,28,44,56,43,53,0,0,0,0,445,441,12,111,Other
2023-2024,NJ,Allendale Public School District,NJ-030040,3400750,100 Brookside Avenue,NA,NA,Allendale,07401,http://www.allendalek8.com,Yes,PK,08,9500000US3400750,"Allendale Borough School District, NJ",1.3,1.4,7.8,12.7,4.7,39.9,32.2,97.3,72.1,59.7,49,3.6,8.9,5.7,50.1,24.3,11,46.1,2.96,3.47,2419,65.1,6.8,20.3,4,3.9,82.7,2,0,19.7,0,2.5,28.4,163875,271151,206615,328787,16.4,53.2,14.2,42.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,22,225,-6.688122299511602,-2.5009397327728533,Allendale Boro,21528,12424,2322,Allendale Public School District,2023-24,52,57,51,18,71,68.5,39.5,62,43,48,68.5,83.8,52.2,87.7,NA,NA,NA,NA,NA,NA,NA,0.388049180327869,81.7,43.3,86.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.281011419249592,0.290283400809717,12:1,180:1,75,13.1,13.1,74.7,4,4,32,3.6,11.5,2.2,20,89,88,85,93,107,81,112,103,120,0,0,0,0,898,897,12,180,Other
2023-2024,NJ,Alloway Twp School District,NJ-330060,3400810,43 Cedar Street,NA,NA,ALLOWAY,08001,http://www.allowayschool.org,Yes,PK,08,9700000US3400810,"Alloway Township School District, NJ",0.1,4.3,28.6,17.3,16.6,25.3,7.9,95.6,33.1,64.3,64.8,9.5,7.7,3.2,39.8,31.5,17.8,22.9,2.69,3.09,1315,51.7,8.6,17.9,12.9,8.8,89.9,9.8,0.9,2.2,0.4,0.4,23,113667,140780,138315,174101,19.4,28.3,14.9,21.4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,316,487,0.35035803780666197,1.4547408380630005,Alloway Twp,17836,10919,1936,Alloway Twp School District,2023-24,56,49,62.5,64,40.5,36.5,60,74,42,49,48.5,49.7,20,56.8,NA,NA,NA,NA,NA,NA,NA,0.0497311827956989,40.4,NA,48.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028494623655914,0.0333333333333333,9:1,74:1,31,13.8,9.0,54.2,22.6,6.5,26,9.9,17.7,15.0,30,23,27,32,27,28,25,36,38,27,0,0,0,0,293,289,9,74,Other
2023-2024,NJ,Alpha Borough School District,NJ-410070,3400840,817 North Blvd.,NA,NA,Alpha,08865,http://www.apsedu.org,Yes,PK,08,9700000US3400840,"Alpha Borough School District, NJ",3,7.7,35.5,16.3,16.1,16.4,5,89.3,21.4,65,58.4,3.6,4.7,11.1,45.6,11.4,27.2,12.6,2.31,2.8,1017,33.1,18.9,21.6,10.7,15.8,92.8,2.1,2.5,6.7,3.5,6.8,15.9,78500,90610,108355,112832,15.4,5.3,10.1,3.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,551,553,4.524945428202713,2.232480993369839,Alpha Boro,20774,12544,1996,Alpha Borough School District,2023-24,57,56,58,28.5,63,70,52,58.5,46.5,66.5,54.5,48.6,NA,54.1,NA,NA,NA,NA,NA,NA,NA,0.118970588235294,37,12.5,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.093125,0.103652173913043,11:1,216:1,20,18.9,14.2,90,5,5,32,15.5,18.5,36.6,14,22,19,25,27,16,20,22,30,21,0,0,0,0,216,198,11,216,Other
2023-2024,NJ,Alpine Public School District,NJ-030080,3400870,500 Hillside Ave.,NA,NA,Alpine,07620,http://www.alpineschool.org,No,KG,08,9700000US3400870,"Alpine Borough School District, NJ",0.8,2.2,8.4,5,4.7,44.6,34.3,97.1,78.9,55.3,41,8.9,6.6,1.3,32.7,40,19.5,25.2,2.81,3.15,594,65.5,7.9,21.6,2.4,2.6,68.4,0,0.7,32,0,4.9,23.4,228194,352198,242969,384804,18.1,57.2,16.7,53,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,86,313,-8.00096953802851,-1.4838033043485195,Alpine Boro,33717,17251,2569,Alpine Public School District,2023-24,64,70,92,46.5,64,67,40,84.5,66,61,69,87.5,58.8,92.6,NA,NA,NA,NA,NA,NA,NA,0.442920353982301,84.1,52.9,89.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.323047619047619,0.331888888888889,8:1,33:1,21,14.0,10.2,85.7,19,0,9,5.3,11.5,0.0,0,10,22,18,20,13,21,23,22,16,0,0,0,0,165,163,8,33,Other
2023-2024,NJ,Andover Regional School District,NJ-370090,3400900,707 Limecrest Rd.,NA,NA,Newton,07860,http://www.andoverregional.org,Yes,PK,08,9700000US3400900,"Andover Regional School District, NJ",2,5.2,27.1,13.6,7.2,24.9,19.9,92.7,44.8,64.3,61.6,4.9,7.2,5.7,34.5,28.1,24.4,18.1,2.46,2.94,2605,47,10.6,20.9,10.2,11.4,94.1,2.2,0.4,3.8,0,5.3,16.5,110181,186919,147788,230540,15.7,33,11.5,25.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,167,308,-0.6701176784103002,1.3428249052182515,Andover Reg,29218,14705,2573,Andover Regional School District,2023-24,58,48,63,33,57.5,66.5,79,68,20,41,63,74,38.6,80.9,NA,NA,NA,NA,NA,NA,NA,0.180553505535055,52.2,15.9,59.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0744117647058824,0.0861883408071749,9:1,77:1,53,9.2,9.2,60.4,1.9,9.4,53,12.9,19.6,19.6,48,37,44,50,49,38,46,39,57,51,0,0,0,0,459,448,9,77,Other
2023-2024,NJ,Atlantic Highlands School District,NJ-250130,3401020,140 First Avenue,NA,NA,Atlantic Highlands,07716,http://ahes.tridistrict.org/,Yes,PK,06,9500000US3401020,"Atlantic Highlands Borough School District, NJ",0.6,0.4,21.5,16,8.7,35,17.8,99,52.9,64.8,57.3,6.2,3.7,1.9,33.1,37.5,23.8,20.6,2.31,2.94,1961,53.1,10.3,27.9,2.6,6.2,97.2,0.7,0.8,1.2,0,3.9,19.5,118591,173022,139688,194140,10,39.2,9.4,30.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,134,51,-2.0801657925179016,2.1450488115401063,NA,NA,NA,NA,Atlantic Highlands School District,2023-24,29,55,31,33,27,NA,NA,44,57,73.5,NA,56.3,27.3,65.7,NA,NA,NA,NA,NA,NA,NA,0.0756617647058823,51.9,27.3,59.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124632352941176,0.124632352941176,8:1,53:1,33,15.2,14.1,75.8,0,0,12,4.8,25.4,14.4,16,36,31,44,40,32,40,25,0,0,0,0,0,0,264,245,8,53,Other
