district_name,ST_LEAID,per_pupil_cost,per_pupil_class_instruction,per_pupil_admin_cost
Absecon City,NJ-010010,20107,12107,2293
Atlantic City,NJ-010110,27489,16938,2627
Atlantic Co Vocational,NJ-010120,17774,9469,2178
Atlantic Co Special Serv,NJ-010125,52138,26235,6626
Brigantine City,NJ-010570,39845,23501,2581
Buena Regional,NJ-010590,20815,11121,2578
Egg Harbor City,NJ-011300,20500,11954,2149
Egg Harbor Twp,NJ-011310,20232,12093,1478
Estell Manor City,NJ-011410,20201,10984,2359
Folsom Boro,NJ-011540,18041,10549,2217
Galloway Twp,NJ-011690,21002,13268,2111
Greater Egg Harbor Reg,NJ-011790,20828,11542,2148
Hamilton Twp,NJ-011940,18416,11066,1673
Hammonton Town,NJ-011960,16944,9901,1686
Linwood City,NJ-012680,19877,11596,2269
Mainland Regional,NJ-012910,24739,12497,1874
Margate City,NJ-013020,38137,23015,2695
Mullica Twp,NJ-013480,20142,11058,2428
Northfield City,NJ-013720,19658,13333,2098
Pleasantville City,NJ-014180,22977,12812,1987
Port Republic City,NJ-014240,18880,10987,2088
Somers Point City,NJ-014800,21459,12076,2013
Ventnor City,NJ-015350,33363,19891,2893
Weymouth Twp,NJ-015760,18426,8973,2937
Allendale Boro,NJ-030040,21528,12424,2322
Alpine Boro,NJ-030080,33717,17251,2569
Bergen Co Special Service,NJ-030285,102526,55126,9387
Bergen County Vocational,NJ-030290,27490,14496,5106
Bergenfield Boro,NJ-030300,19572,11907,2232
Bogota Boro,NJ-030440,19733,10772,2623
Carlstadt Boro,NJ-030740,24385,14305,2754
Carlstadt-East Rutherford,NJ-030745,20765,9984,2352
Cliffside Park Boro,NJ-030890,17669,10614,1974
Closter Boro,NJ-030930,19261,11193,2204
Cresskill Boro,NJ-030990,18839,12232,2242
Demarest Boro,NJ-031070,22698,12569,2513
Dumont Boro,NJ-031130,17352,10624,2228
East Rutherford Boro,NJ-031230,24437,15782,2548
Edgewater Boro,NJ-031270,26454,14965,2616
Elmwood Park,NJ-031345,17763,9333,2548
Emerson Boro,NJ-031360,20790,11408,2484
Englewood City,NJ-031370,20503,12455,2232
Englewood Cliffs Boro,NJ-031380,29920,16135,2776
Fair Lawn Boro,NJ-031450,19207,11129,2126
Fairview Boro,NJ-031470,21174,11683,3030
Fort Lee Boro,NJ-031550,18422,10641,1902
Franklin Lakes Boro,NJ-031580,28223,17218,2516
Garfield City,NJ-031700,20465,12731,2263
Glen Rock Boro,NJ-031760,20318,10874,2574
Hackensack City,NJ-031860,23713,13923,2072
Harrington Park Boro,NJ-032050,21185,12983,2283
Hasbrouck Heights Boro,NJ-032080,20541,11352,2071
Haworth Boro,NJ-032090,22882,13922,2471
Hillsdale Boro,NJ-032180,22207,12881,2094
Ho Ho Kus Boro,NJ-032200,20250,10871,2648
Leonia Boro,NJ-032620,18358,10189,2667
Little Ferry Boro,NJ-032710,22999,12467,3205
Lodi Borough,NJ-032740,18652,9562,2063
Lyndhurst Twp,NJ-032860,16730,9408,2054
Mahwah Twp,NJ-032900,24189,12590,2738
Maywood Boro,NJ-033060,16234,10136,1564
Midland Park Boro,NJ-033170,25709,14339,3436
Montvale Boro,NJ-033330,18661,11804,2243
Moonachie Boro,NJ-033350,20525,11158,1995
New Milford Boro,NJ-033550,20280,11242,2685
North Arlington Boro,NJ-033600,17886,10590,1932
Northern Highlands Reg,NJ-033700,22282,12714,1827
Northern Valley Regional,NJ-033710,24038,13874,2288
Northvale Boro,NJ-033730,20190,11505,2515
Norwood Boro,NJ-033740,18448,10582,2207
Oakland Boro,NJ-033760,24435,14118,2652
Old Tappan Boro,NJ-033850,21680,12991,2394
Oradell Boro,NJ-033870,16911,9677,2096
Palisades Park,NJ-033910,16439,9697,2041
Paramus Boro,NJ-033930,24092,13134,2481
Park Ridge Boro,NJ-033940,27572,14293,2686
Pascack Valley Regional,NJ-033960,30597,16714,2780
Ramapo-Indian Hill Reg,NJ-034300,27526,13596,2962
Ramsey Boro,NJ-034310,28351,16230,2523
Ridgefield Boro,NJ-034370,24982,13516,2524
Ridgefield Park Twp,NJ-034380,22949,13786,2523
Ridgewood Village,NJ-034390,19734,11591,1804
River Dell Regional,NJ-034405,21348,12761,2625
River Edge Boro,NJ-034410,18747,12507,1997
River Vale Twp,NJ-034430,24710,13917,3137
Rochelle Park Twp,NJ-034470,22541,13082,2602
Rutherford Boro,NJ-034600,18354,10606,2586
Saddle Brook Twp,NJ-034610,19043,9981,2339
Saddle River Boro,NJ-034620,52301,23672,3684
South Hackensack Twp,NJ-034870,24583,13909,2193
Teaneck Twp,NJ-035150,24925,13468,2262
Tenafly Boro,NJ-035160,21949,13101,2713
Upper Saddle River Boro,NJ-035330,24770,16622,2073
Waldwick Boro,NJ-035410,20374,12574,2776
Wallington Boro,NJ-035430,17041,8842,1786
Westwood Regional,NJ-035755,21550,11569,2351
Wood-Ridge Boro,NJ-035830,16833,9816,2317
Woodcliff Lake Boro,NJ-035880,23723,13766,2780
Wyckoff Twp,NJ-035920,20832,11606,2299
Bass River Twp,NJ-050200,0,0,0
Beverly City,NJ-050380,21531,12796,1671
Bordentown Regional,NJ-050475,18717,9656,2149
Burlington City,NJ-050600,21728,12023,2166
Burlington Co Spec Serv,NJ-050605,87043,49097,7557
Burlington Co Vocational,NJ-050610,17692,9177,2214
Burlington Twp,NJ-050620,18566,11048,1818
Chesterfield Twp,NJ-050830,19216,10135,2180
Cinnaminson Twp,NJ-050840,19150,10727,1909
Delanco Twp,NJ-051030,19011,10188,2297
Delran Twp,NJ-051060,19141,11158,1449
Eastampton Twp,NJ-051250,16619,10345,2025
Edgewater Park Twp,NJ-051280,19903,12979,1769
Evesham Twp,NJ-051420,16143,9737,1294
Florence Twp,NJ-051520,19477,10405,2427
Hainesport Twp,NJ-051910,19267,11362,2142
Lenape Regional,NJ-052610,22296,12536,2222
Lumberton Twp,NJ-052850,20334,11142,1975
Mansfield Twp,NJ-052960,23552,13066,2428
Maple Shade Twp,NJ-053010,19623,11673,1984
Medford Lakes Boro,NJ-053070,18215,10355,2106
Medford Twp,NJ-053080,19740,12146,2363
Moorestown Twp,NJ-053360,19858,11775,1795
Mount Holly Twp,NJ-053430,20737,11503,2310
Mount Laurel Twp,NJ-053440,18007,11998,1576
New Hanover Twp,NJ-053540,22678,13402,2152
North Hanover Twp,NJ-053650,20958,12297,1556
Northern Burlington Reg,NJ-053690,19077,10062,2043
Palmyra Boro,NJ-053920,18789,10028,1890
Pemberton Twp,NJ-054050,22420,12771,2119
Rancocas Valley Regional,NJ-054320,16588,9380,2008
Riverside Twp,NJ-054450,17089,10322,2005
Riverton,NJ-054460,20410,12472,2406
Shamong Twp,NJ-054740,20726,11658,2434
Southampton Twp,NJ-054930,19574,11096,2296
Springfield Twp,NJ-055010,15511,9009,1274
Tabernacle Twp,NJ-055130,19300,11360,1718
Washington Twp,NJ-055490,0,0,0
Westampton,NJ-055720,17098,9890,1920
Willingboro Twp,NJ-055805,22407,11509,1573
Woodland Twp,NJ-055890,26083,16615,2397
Audubon Boro,NJ-070150,18603,10890,1674
Barrington Boro,NJ-070190,21671,13184,2127
Bellmawr Boro,NJ-070260,17421,10625,1554
Berlin Boro,NJ-070330,15873,10054,1526
Berlin Twp,NJ-070340,18804,11585,1980
Black Horse Pike Regional,NJ-070390,19466,10308,2090
Brooklawn Boro,NJ-070580,21176,13288,1727
Camden City,NJ-070680,30474,15746,2533
Camden County Vocational,NJ-070700,21588,10901,3363
Cherry Hill Twp,NJ-070800,19726,12647,1927
Clementon Boro,NJ-070880,17088,10430,2066
Collingswood Boro,NJ-070940,17653,10252,1638
Eastern Camden County Reg,NJ-071255,18811,10279,1986
Gibbsboro Boro,NJ-071720,23364,13945,2141
Gloucester City,NJ-071770,19516,10585,1875
Gloucester Twp,NJ-071780,17025,11056,1446
Haddon Heights Boro,NJ-071880,17659,10711,2013
Haddon Twp,NJ-071890,16431,8961,2134
Haddonfield Boro,NJ-071900,16023,8711,1692
Laurel Springs Boro,NJ-072540,17354,11044,2531
Lawnside Boro,NJ-072560,22342,11564,2044
Lindenwold Boro,NJ-072670,16643,9977,1564
Magnolia Boro,NJ-072890,23125,14168,2377
Merchantville Boro,NJ-073110,19051,12199,1907
Mount Ephraim Boro,NJ-073420,22867,12068,2229
Oaklyn Boro,NJ-073770,23489,13720,1966
Pennsauken Twp,NJ-074060,21450,11693,2359
Pine Hill Boro,NJ-074110,20760,11688,1659
Runnemede Boro,NJ-074590,20378,11143,2159
Somerdale Boro,NJ-074790,19038,11759,2412
Sterling High School Dist,NJ-075035,19879,10673,2141
Stratford Boro,NJ-075080,19858,11915,1775
Voorhees Twp,NJ-075400,18911,12396,1678
Waterford Twp,NJ-075560,20222,11720,2159
Winslow Twp,NJ-075820,18593,10987,1969
Woodlynne Boro,NJ-075900,22281,13508,2261
Avalon Boro,NJ-090170,33479,17801,2732
