ST_LEAID,SchoolYear,DistrictName,TotalEnrollment
NJ-010010,2018-2019,Absecon City,859
NJ-010110,2018-2019,Atlantic City,6855
NJ-010120,2018-2019,Atlantic Co Vocational,1647
NJ-010125,2018-2019,Atlantic Co Special Serv,309
NJ-010570,2018-2019,Brigantine City,559
NJ-010590,2018-2019,Buena Regional,1647
NJ-011300,2018-2019,Egg Harbor City,534
NJ-011310,2018-2019,Egg Harbor Twp,7356
NJ-011410,2018-2019,Estell Manor City,181
NJ-011540,2018-2019,Folsom Boro,402
NJ-011690,2018-2019,Galloway Twp,3302
NJ-011790,2018-2019,Greater Egg Harbor Reg,3096
NJ-011940,2018-2019,Hamilton Twp,3164
NJ-011960,2018-2019,Hammonton Town,3500
NJ-012680,2018-2019,Linwood City,807
NJ-012910,2018-2019,Mainland Regional,1226
NJ-013020,2018-2019,Margate City,350
NJ-013480,2018-2019,Mullica Twp,697
NJ-013720,2018-2019,Northfield City,914
NJ-014180,2018-2019,Pleasantville City,3501
NJ-014240,2018-2019,Port Republic City,101
NJ-014800,2018-2019,Somers Point City,882
NJ-015350,2018-2019,Ventnor City,662
NJ-015760,2018-2019,Weymouth Twp,165
NJ-030040,2018-2019,Allendale Boro,874
NJ-030080,2018-2019,Alpine Boro,135
NJ-030285,2018-2019,Bergen Co Special Service,659
NJ-030290,2018-2019,Bergen County Vocational,2348
NJ-030300,2018-2019,Bergenfield Boro,3538
NJ-030440,2018-2019,Bogota Boro,1097.5
NJ-030740,2018-2019,Carlstadt Boro,549
NJ-030745,2018-2019,Carlstadt-East Rutherford,487
NJ-030890,2018-2019,Cliffside Park Boro,3153.5
NJ-030930,2018-2019,Closter Boro,1193
NJ-030990,2018-2019,Cresskill Boro,1778
NJ-031070,2018-2019,Demarest Boro,686
NJ-031130,2018-2019,Dumont Boro,2469
NJ-031230,2018-2019,East Rutherford Boro,799
NJ-031270,2018-2019,Edgewater Boro,1001
NJ-031345,2018-2019,Elmwood Park,2549
NJ-031360,2018-2019,Emerson Boro,1114
NJ-031370,2018-2019,Englewood City,3015
NJ-031380,2018-2019,Englewood Cliffs Boro,491
NJ-031450,2018-2019,Fair Lawn Boro,5076.5
NJ-031470,2018-2019,Fairview Boro,1490
NJ-031550,2018-2019,Fort Lee Boro,4061
NJ-031580,2018-2019,Franklin Lakes Boro,1135
NJ-031700,2018-2019,Garfield City,4818
NJ-031760,2018-2019,Glen Rock Boro,2504.5
NJ-031860,2018-2019,Hackensack City,5740
NJ-032050,2018-2019,Harrington Park Boro,601
