district_name,ST_LEAID,per_pupil_cost,per_pupil_class_instruction,per_pupil_admin_cost
Absecon City,NJ-010010,15676,9712,1534
Atlantic City,NJ-010110,21198,14434,1780
Atlantic Co Vocational,NJ-010120,15564,8307,1820
Atlantic Co Special Serv,NJ-010125,45919,22615,5786
Brigantine City,NJ-010570,34592,21147,2338
Buena Regional,NJ-010590,19169,10969,2153
Egg Harbor City,NJ-011300,16258,9875,1680
Egg Harbor Twp,NJ-011310,18291,11154,1322
Estell Manor City,NJ-011410,17611,11395,1752
Folsom Boro,NJ-011540,16180,9902,1615
Galloway Twp,NJ-011690,19221,12702,1657
Greater Egg Harbor Reg,NJ-011790,20257,11121,2090
Hamilton Twp,NJ-011940,15711,9416,1411
Hammonton Town,NJ-011960,14526,8591,1441
Linwood City,NJ-012680,16881,9686,1912
Mainland Regional,NJ-012910,22115,12039,1425
Margate City,NJ-013020,30759,19844,2236
Mullica Twp,NJ-013480,16889,9433,2104
Northfield City,NJ-013720,17425,12023,1849
Pleasantville City,NJ-014180,19187,10869,1943
Port Republic City,NJ-014240,18551,10616,2246
Somers Point City,NJ-014800,19204,10749,2020
Ventnor City,NJ-015350,27140,16854,2466
Weymouth Twp,NJ-015760,17299,9610,2161
Allendale Boro,NJ-030040,17114,10057,1970
Alpine Boro,NJ-030080,30228,15782,2207
Bergen Co Special Service,NJ-030285,86445,47272,7843
Bergen County Vocational,NJ-030290,26854,14094,5171
Bergenfield Boro,NJ-030300,18147,11058,1910
Bogota Boro,NJ-030440,16696,9523,2248
Carlstadt Boro,NJ-030740,19919,11796,2485
Carlstadt-East Rutherford,NJ-030745,19736,10371,2312
Cliffside Park Boro,NJ-030890,15434,9675,1757
Closter Boro,NJ-030930,16239,9807,1825
Cresskill Boro,NJ-030990,17729,11445,2027
Demarest Boro,NJ-031070,19246,11097,2234
Dumont Boro,NJ-031130,16294,10058,2065
East Rutherford Boro,NJ-031230,23098,14543,2914
Edgewater Boro,NJ-031270,19010,10446,2281
Elmwood Park,NJ-031345,14261,7647,2101
Emerson Boro,NJ-031360,18929,10826,2409
Englewood City,NJ-031370,19232,11127,2129
Englewood Cliffs Boro,NJ-031380,28748,16011,2847
Fair Lawn Boro,NJ-031450,17279,10395,1785
Fairview Boro,NJ-031470,11928,6662,1806
Fort Lee Boro,NJ-031550,16749,9780,1772
Franklin Lakes Boro,NJ-031580,26549,16716,2420
Garfield City,NJ-031700,20103,12369,2311
Glen Rock Boro,NJ-031760,18290,11045,1930
Hackensack City,NJ-031860,20884,12304,2068
Harrington Park Boro,NJ-032050,19666,12177,2118
Hasbrouck Heights Boro,NJ-032080,17933,10231,1832
Haworth Boro,NJ-032090,22035,13365,2104
Hillsdale Boro,NJ-032180,20492,12109,1954
Ho Ho Kus Boro,NJ-032200,18898,10506,2451
Leonia Boro,NJ-032620,16391,9424,2272
