ST_LEAID,SchoolYear,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,UNGRADED,TotalEnrollment,ELA_ME_District,MATH_ME_District,Chronic_Abs_Pct
NJ-010010,2014-2015,0,69,100,93,91,95,109,85,84,84,0,0,0,0,18,828,51,34,7
NJ-010110,2014-2015,341,570,634,597,561,491,483,477,456,433,644,521,452,384,216,7260,27,30,13
NJ-010120,2014-2015,0,0,0,0,0,0,0,0,0,0,402,346,328,263.5,0,1339.5,38,15,NA
NJ-010125,2014-2015,3,6,4,6,6,2,7,8,7,10,9,8,4,26,305,411,NA,NA,NA
NJ-010570,2014-2015,49,64,73,66,73,75,64,61,78,62,0,0,0,0,22,687,41,31,13
NJ-010590,2014-2015,45,73,68,93,140,113,124,129,144,133,138,161,195,166,108,1830,22,42,11
NJ-011300,2014-2015,57,46,49,56,51,41,49,38,29,55,0,0,0,0,31,502,21,18,17
NJ-011310,2014-2015,103,433,490,515,524,591,551,568,618,626,579,576,590,593,209,7566,44,38,7
NJ-011410,2014-2015,0,11,17,24,18,14,19,18,20,21,0,0,0,0,1,163,50,56,12
NJ-011540,2014-2015,17,35,38,48,40,48,52,45,52,44,0,0,0,0,0,419,38,34,2
NJ-011690,2014-2015,32,343,310,332,306,331,335,332,366,368,0,0,0,0,220,3275,51,49,6
NJ-011790,2014-2015,0,0,0,0,0,0,0,0,0,0,835,816,825,774,62,3312,28,15,NA
NJ-011940,2014-2015,139,305,300,336,294,319,359,315,318,329,0,0,0,0,88,3102,44,41,10
NJ-011960,2014-2015,122,197,169,194,190,204,204,193,309,329,312,355,357,308,157,3600,45,35,8
NJ-012680,2014-2015,20,71,80,93,90,85,96,103,101,106,0,0,0,0,15,860,81,71,4
NJ-012910,2014-2015,0,0,0,0,0,0,0,0,0,0,314,366,298,328.5,49,1355.5,45,17,NA
NJ-013020,2014-2015,1,44,47,45,44,46,46,45,56,49,0,0,0,0,1,424,72,64,7
NJ-013480,2014-2015,62,67,85,80,76,65,84,80,88,79,0,0,0,0,8,774,38,26,7
NJ-013720,2014-2015,0,90,94,95,92,96,100,112,103,117,0,0,0,0,28,927,51,51,4
NJ-014180,2014-2015,581,351,345,286,267,272,270,247,252,246,188,208,170,180,3,3866,21,25,31
NJ-014240,2014-2015,0,13,16,15,14,12,18,9,13,20,0,0,0,0,0,130,47,40,16
NJ-014800,2014-2015,89,112,99,106,105,99,96,87,89,105,0,0,0,0,29,1016,32,24,9
NJ-015350,2014-2015,50,67,80,91,75,81,75,87,84,88,0,0,0,0,0,778,52,49,9
NJ-015760,2014-2015,18,17,20,14,23,14,17,13,21,20,0,0,0,0,4,181,44,51,14
NJ-030040,2014-2015,17,81,72,87,94,115,102,108,108,117,0,0,0,0,0,901,80,74,2
NJ-030080,2014-2015,0,13,20,14,19,19,21,18,12,19,0,0,0,0,0,155,88,64,4
NJ-030285,2014-2015,10,10,7,11,6,16,8,6,20,15,26,20,22,55,497.5,729.5,NA,NA,NA
NJ-030290,2014-2015,0,0,0,0,0,0,0,0,0,0,519.5,528.5,519.5,535.5,4,2107,93,89,NA
NJ-030300,2014-2015,23,215,219,238,247,213,228,238,246,235,321,289,288.5,281.5,158,3440,56,45,4
NJ-030440,2014-2015,20,77,65,76,78,85,92,84,88,86,62,89,81,79.5,26,1088.5,48,42,6
NJ-030740,2014-2015,19,44,68,52,57,70,54,63,72,61,0,0,0,0,10,570,53,35,10
NJ-030745,2014-2015,0,0,0,0,0,0,0,0,0,0,132,115.5,106.5,134.5,0,488.5,42,16,NA
NJ-030890,2014-2015,89,237,190,165,182,178,170,164,166,165,301,249,267,238,206.5,2967.5,45,40,22
NJ-030930,2014-2015,17,98,107,107,105,109,125,121,132,158,0,0,0,0,32,1111,85,80,39
NJ-030990,2014-2015,16,127,117,121,111,133,143,137,136,139,149,121,136.5,121.5,58,1766,73,54,3
NJ-031070,2014-2015,0,55,66,83,78,70,84,83,77,78,0,0,0,0,4,678,82,76,3
NJ-031130,2014-2015,33,168,182,180,174,186,192,215,204,204,193,220,199.5,193,25,2568.5,66,53,5
NJ-031230,2014-2015,28,85,81,83,72,87,74,89,66,67,0,0,0,0,40,772,60,44,6
NJ-031270,2014-2015,89,135,158,138,105,97,97,78,0,0,0,0,0,0,16,913,62,57,5
NJ-031345,2014-2015,14,87,202,221,185,182,189,175,195,160,203,154,171.5,183,96,2417.5,47,33,8
NJ-031360,2014-2015,49,85,72,72,89,77,78,84,91,83,89,102,103,91,39,1204,62,35,2
NJ-031370,2014-2015,199,202,194,190,177,179,170,191,203,189,272,279,262,258,127,3092,46,26,7
NJ-031380,2014-2015,32,61,70,53,76,57,58,53,48,39,0,0,0,0,0,547,78,71,4
NJ-031450,2014-2015,0,243,332,344,319,338,356,362,351,346,337,327.5,378,360,307.5,4701,65,58,3
NJ-031470,2014-2015,64,172,152,147,147,107,122,131,114,119,0,0,0,0,36,1311,34,20,8
NJ-031550,2014-2015,47,324,358,327,309,280,308,264,254,279,236,243,246,257,3,3735,66,59,7
NJ-031580,2014-2015,32,101,96,116,107,146,134,150,138,155,0,0,0,0,49,1224,77,69,5
NJ-031700,2014-2015,516,368,398,349,361,314,285,318,301,277,287,209,255,230.5,346,4814.5,37,39,10
NJ-031760,2014-2015,0,162,189,177,176,168,183,217,163,194,200,160,195.5,187.5,16,2388,65,61,4
NJ-031860,2014-2015,164,454,434,387,363,322,336,335,336,340,491.5,439,399.5,446.5,379,5626.5,36,34,14
NJ-032050,2014-2015,0,53,63,49,79,62,72,83,84,88,0,0,0,0,4,637,67,70,2
NJ-032080,2014-2015,0,122,125,150,160,148,155,150,135,141,134.5,164,130,125,32,1871.5,53,41,3
NJ-032090,2014-2015,0,36,41,42,48,42,44,49,53,52,0,0,0,0,0,407,78,67,3
NJ-032180,2014-2015,23,108,123,108,124,134,149,155,131,182,0,0,0,0,13,1250,68,54,5
NJ-032200,2014-2015,17,64,74,69,67,67,84,70,68,58,0,0,0,0,2,640,79,70,3
NJ-032620,2014-2015,18,96,87,108,104,101,110,103,191,174,163,149,176.5,173,79,1832.5,68,56,4
NJ-032710,2014-2015,31,91,100,103,105,98,89,108,111,112,0,0,0,0,32,980,48,35,8
NJ-032740,2014-2015,134,246,247,241,231,219,227,251,222,233,205.5,241.5,249,236,61,3244,46,36,10
NJ-032860,2014-2015,52,160,178,145,178,177,156,168,174,165,183,185.5,174.5,177.5,113,2386.5,47,37,7
NJ-032900,2014-2015,33,175,223,197,207,208,230,239,273,237,238,246,223,250.5,73,3052.5,74,65,5
NJ-033060,2014-2015,15,88,114,104,88,114,114,87,93,89,0,0,0,0,37,943,66,61,4
NJ-033170,2014-2015,24,52,72,68,57,68,86,76,78,93,67,84,77,81,8,991,66,37,4
NJ-033330,2014-2015,24,105,117,86,116,107,129,126,116,126,0,0,0,0,4,1056,78,62,3
NJ-033350,2014-2015,16,28,28,27,29,29,31,29,23,31,0,0,0,0,14,285,45,38,11
NJ-033550,2014-2015,0,139,131,139,134,153,169,127,166,156,155,156.5,170.5,134.5,53,1983.5,67,46,4
NJ-033600,2014-2015,14,149,151,151,133,104,135,139,117,110,116,119,128,117,47,1730,55,41,8
NJ-033700,2014-2015,0,0,0,0,0,0,0,0,0,0,331,352,337.5,351.5,0,1372,56,47,NA
NJ-033710,2014-2015,0,0,0,0,0,0,0,0,0,0,578,543,613,601,196,2531,46,37,NA
NJ-033730,2014-2015,0,47,50,47,46,51,51,60,86,60,0,0,0,0,11,509,68,63,4
NJ-033740,2014-2015,0,56,58,61,56,64,69,77,53,77,0,0,0,0,15,586,73,60,5
NJ-033760,2014-2015,0,108,131,128,156,159,219,176,200,232,0,0,0,0,42,1551,70,63,5
NJ-033850,2014-2015,0,81,64,66,65,72,89,100,101,97,0,0,0,0,3,738,75,68,1
NJ-033870,2014-2015,7,84,103,113,90,114,106,108,0,0,0,0,0,0,7,732,71,70,4
NJ-033910,2014-2015,0,151,168,147,119,112,127,98,106,93,111,112,112,101,46,1603,52,37,9
NJ-033930,2014-2015,102,214,249,247,243,275,325,281,303,338,277,304.5,322.5,311,125,3917,59,53,4
NJ-033940,2014-2015,26,94,87,89,84,85,103,110,86,100,96,101,101,99,10,1271,66,57,5
NJ-033960,2014-2015,0,0,0,0,0,0,0,0,0,0,495,528,481.5,494,29,2027.5,49,39,NA
NJ-034300,2014-2015,0,0,0,0,0,0,0,0,0,0,583,600.5,563,545.5,21,2313,56,37,NA
NJ-034310,2014-2015,27,191,163,200,192,198,238,236,241,266,193,206,223,226,55,2855,67,55,4
NJ-034370,2014-2015,34,88,118,119,107,104,95,127,114,127,112,110,111,147,216,1729,54,54,11
