ST_LEAID,SchoolYear,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,Ungraded,TotalEnrollment,Students with Disabilities,Economically Disadvantaged Students,ELA_ME_District,ELA_ME_District_dis,MATH_ME_District,MATH_ME_District_dis,Chronic_Abs_Pct,Abs_0,Abs_1-5,Abs_6-10,Abs_11-15,Abs_over15
NJ-010010,2015-2016,14,96,84,93,89,95,88,103,81,87,0,0,0,0,27,857,13,44,49,NA,38,NA,9,7,36,33,13,10
NJ-010110,2015-2016,500,546,542,577,544,537,482,497,475,455,600,498,409,403,36,7101,13,83,31,NA,23,5,18,7,35,24,14,20
NJ-010120,2015-2016,0,0,0,0,0,0,0,0,0,0,373,345,305,285,169,1477,12,58,42,10,25,4,13,9,34,27,14,17
NJ-010125,2015-2016,8,5,7,5,6,6,3,9,7,7,7,4,8,24,270,376,99,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NJ-010570,2015-2016,46,59,54,72,68,71,74,64,60,74,0,0,0,0,20,662,16,51,45,17,33,6,12,4,32,29,18,18
NJ-010590,2015-2016,98,171,81,61,90,137,107,129,125,147,153,134,148,177,98,1856,23,53,31,5,30,6,18,5,24,30,19,21
NJ-011300,2015-2016,55,56,49,47,49,43,38,47,35,32,0,0,0,0,50,501,25,80,19,4,15,4,18,2,28,29,19,22
NJ-011310,2015-2016,107,372,502,486,537,527,589,559,574,627,594,583,554,565,231,7407,13,47,46,16,39,14,10,7,35,30,15,13
NJ-011410,2015-2016,0,19,13,19,22,20,14,24,15,23,0,0,0,0,0,169,15,24,50,NA,57,NA,6,2,36,33,18,11
NJ-011540,2015-2016,16,33,37,38,51,41,45,45,45,50,0,0,0,0,1,402,19,36,41,14,37,10,3,6,37,39,13,5
NJ-011690,2015-2016,37,278,346,312,336,308,362,348,335,373,0,0,0,0,262,3297,21,55,50,21,49,20,7,8,41,29,13,8
NJ-011790,2015-2016,0,0,0,0,0,0,0,0,0,0,795,823,763,818,55,3254,17,45,49,19,23,NA,19,3,24,28,21,24
NJ-011940,2015-2016,179,250,314,283,334,294,332,356,326,328,0,0,0,0,77,3073,16,41,47,10,40,11,15,58,32,4,3,3
NJ-011960,2015-2016,118,160,194,165,189,190,203,219,343,320,360,314,334,349,170,3628,15,45,53,17,41,10,14,5,30,27,19,18
NJ-012680,2015-2016,14,68,75,84,95,92,90,105,109,100,0,0,0,0,17,849,19,7,77,41,70,37,4,4,41,35,13,6
NJ-012910,2015-2016,0,0,0,0,0,0,0,0,0,0,305,315,363,303,26,1312,14,19,59,22,31,10,8,5,35,33,16,11
NJ-013020,2015-2016,0,28,42,51,42,40,41,40,42,53,0,0,0,0,2,381,18,12,84,NA,81,NA,6,5,38,31,16,9
NJ-013480,2015-2016,53,71,65,80,83,73,70,80,79,80,0,0,0,0,4,738,15,43,38,14,43,14,6,4,37,33,17,8
NJ-013720,2015-2016,0,89,93,93,96,98,94,101,109,106,0,0,0,0,31,910,20,21,48,8,56,14,4,9,47,32,8,4
NJ-014180,2015-2016,411,269,304,267,261,262,259,251,250,234,187,193,178,160,90,3576,15,92,26,4,21,4,17,8,47,26,11,8
NJ-014240,2015-2016,0,12,16,16,13,15,10,18,6,11,0,0,0,0,0,117,16,13,62,NA,52,NA,9,3,38,30,17,12
NJ-014800,2015-2016,75,117,103,95,99,95,91,91,86,83,0,0,0,0,30,965,21,66,34,12,28,6,9,7,40,26,15,12
NJ-015350,2015-2016,39,83,68,71,92,67,76,72,82,83,0,0,0,0,0,733,16,68,55,21,49,7,10,7,36,29,16,12
NJ-015760,2015-2016,15,22,17,16,14,18,13,13,12,18,0,0,0,0,5,163,29,58,41,NA,42,NA,9,1,30,33,23,13
NJ-030040,2015-2016,21,84,94,74,91,98,117,107,114,112,0,0,0,0,0,912,12,1,79,56,78,51,2,10,51,27,8,3
NJ-030080,2015-2016,0,13,11,19,17,17,18,22,22,14,0,0,0,0,1,154,14,NA,85,NA,79,NA,4,4,38,36,14,7
NJ-030285,2015-2016,19,5,8,5,5,5,14,12,11,19,10,14,15,41,586,769,98,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NJ-030290,2015-2016,0,0,0,0,0,0,0,0,0,0,595,542,512,505,6,2163,18,14,92,NA,93,NA,NA,12,42,29,13,5
NJ-030300,2015-2016,25,225,234,226,235,257,222,254,259,269,277,325,286,288,181,3563,16,37,64,14,51,9,4,15,45,26,10,5
NJ-030440,2015-2016,3,101,85,63,78,74,76,98,75,83,84,64,89,85,38,1096,15,49,63,11,47,7,4,8,43,29,14,6
NJ-030740,2015-2016,33,50,48,67,54,57,64,52,63,73,0,0,0,0,5,566,15,31,52,8,40,10,9,6,35,32,16,11
NJ-030745,2015-2016,0,0,0,0,0,0,0,0,0,0,104,125,113,105,0,447,11,30,52,NA,19,NA,9,4,26,31,23,17
NJ-030890,2015-2016,88,207,214,177,156,176,176,172,157,166,282,274,234,243,215,2937,16,56,55,9,40,6,31,3,24,22,16,35
NJ-030930,2015-2016,28,105,117,113,117,119,110,128,113,140,0,0,0,0,35,1125,15,NA,84,48,79,30,3,10,44,27,12,6
NJ-030990,2015-2016,21,109,131,139,129,126,145,137,141,141,127,144,122,135,55,1802,14,NA,77,25,60,19,3,14,46,27,9,4
NJ-031070,2015-2016,0,54,64,65,85,79,73,85,82,78,0,0,0,0,5,670,18,NA,85,36,80,29,3,12,44,29,9,6
NJ-031130,2015-2016,40,127,175,184,179,172,188,195,209,203,203,196,214,201,19,2505,13,12,71,32,58,23,5,8,44,28,12,8
NJ-031230,2015-2016,28,89,85,81,80,80,85,78,85,64,0,0,0,0,42,797,16,34,62,9,48,11,7,5,41,33,12,9
NJ-031270,2015-2016,83,135,147,134,116,107,87,82,0,0,0,0,0,0,14,905,10,20,58,NA,60,NA,3,11,53,26,7,3
NJ-031345,2015-2016,19,180,168,195,244,174,199,189,176,197,158,183,145,172,106,2505,17,43,54,17,37,12,9,6,36,30,16,12
NJ-031360,2015-2016,52,69,82,76,71,90,70,81,85,96,70,92,101,101,37,1173,15,8,65,34,45,25,2,7,53,30,6,3
NJ-031370,2015-2016,177,204,171,178,195,177,181,182,205,215,266,266,259,255,200,3131,14,62,49,11,28,NA,13,5,33,28,17,16
NJ-031380,2015-2016,34,48,64,66,54,78,53,60,46,47,0,0,0,0,0,550,12,1,77,30,66,18,3,16,48,23,7,6
NJ-031450,2015-2016,0,277,330,345,356,330,346,366,373,374,338,352,333,380,288,4788,22,12,73,36,67,33,3,8,42,31,13,6
NJ-031470,2015-2016,75,147,177,132,139,140,95,119,125,128,0,0,0,0,23,1300,19,75,36,5,28,2,8,8,43,26,13,10
NJ-031550,2015-2016,22,343,313,330,316,299,267,289,256,246,236,228,243,242,83,3713,13,20,72,24,63,21,8,9,41,26,14,11
NJ-031580,2015-2016,42,79,111,100,126,110,143,136,154,132,0,0,0,0,40,1173,22,NA,76,35,68,25,4,8,45,29,12,6
NJ-031700,2015-2016,563,343,353,361,345,340,290,280,309,284,258,241,202,262,427,4858,18,66,48,9,37,10,7,6,40,30,15,9
NJ-031760,2015-2016,18,179,187,205,178,180,169,191,220,164,187,202,163,191,14,2448,20,1,73,36,67,26,3,6,47,31,11,5
NJ-031860,2015-2016,164,398,442,428,391,347,318,340,341,356,503,423,397,436,391,5675,18,63,45,13,29,11,12,8,38,25,14,15
NJ-032050,2015-2016,0,65,54,71,54,78,65,74,83,82,0,0,0,0,1,627,14,NA,73,28,72,26,2,6,52,28,10,4
