DistrictName,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment,ST_LEAID,SchoolYear,Students with Disabilities,Economically Disadvantaged Students,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_District,TeacherAvgYearsExp_District,TeacherAvgYearsExpInDistrict_District,TeacherInDistrict4YearsOrMore_District,Chronic_Abs_Count,Chronic_Abs_Pct,Abs_0,Abs_1-5,Abs_6-10,Abs_11-15,Abs_over15
ABSECON CITY,39,99,84,86,81,103,98,93,79,106,0,0,0,0,868,NJ-010010,2017-2018,13.8,46.3,54.9,21.9,58.7,NA,42.5,*,*,0,0,13:1,174:1,68,15.4,14.7,92.3,61,7.3,5,35,33,17,10
ATLANTIC CITY,541,575,522,510,494,518,497,524,466,463,518,441,414,461,6944,NJ-010110,2017-2018,14.4,92.6,30.8,*,*,NA,22.6,*,*,0.018727881396461026,0.02045977011494253,11:1,224:1,642,13.1,12.9,87.1,1391,21.4,5,28,25,16,26
ATLANTIC CO VOCATIONAL,0,0,0,0,0,0,0,0,0,0,446,416,379,350,1591,NJ-010120,2017-2018,10.8,61.9,50.0,14.4,54.7,0.08829225352112675,31.1,10.4,33.9,0,0,12:1,177:1,134,7.0,6.7,63.4,186,12.2,4,32,31,16,16
ATLANTIC CO SPECIAL SERV,36,6,13,18,14,26,15,21,23,26,21,14,25,93,351,NJ-010125,2017-2018,97.4,36.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6:1,50:1,58,16.0,14.8,82.8,NA,NA,NA,NA,NA,NA,NA
BRIGANTINE CITY,38,58,51,51,58,73,52,63,72,58,0,0,0,0,574,NJ-010570,2017-2018,17.8,50.7,45.9,22.5,49.3,NA,39.3,25.0,41.3,0,0,8:1,96:1,68,18.4,18.1,91.2,72,13.4,2,26,32,22,18
BUENA REGIONAL,96,129,112,101,106,111,103,154,124,135,129,141,148,132,1721,NJ-010590,2017-2018,22.2,50.1,29.6,*,*,NA,23.4,*,*,0,0,12:1,156:1,149,14.6,12.5,87.9,319,19.1,2,24,29,21,23
EGG HARBOR CITY,51,72,54,62,46,50,66,44,43,59,0,0,0,0,547,NJ-011300,2017-2018,26.1,79.3,*,*,*,NA,11.0,*,*,0,0,11:1,137:1,48,11.7,10.3,70.8,84,16.9,2,28,29,20,21
EGG HARBOR TWP,197,394,484,487,550,531,588,573,657,574,582,583,605,596,7401,NJ-011310,2017-2018,14.4,46.1,54.7,13.9,61.2,0.12471284783895796,42.5,10.9,47.4,0.04976091476091476,0.05452164009111617,12:1,190:1,602,13.2,12.0,88.4,775,10.7,5,32,31,18,14
ESTELL MANOR CITY,0,21,19,20,15,22,24,21,14,27,0,0,0,0,183,NJ-011410,2017-2018,18.6,26.8,56.1,*,*,NA,43.9,*,*,0,0,11:1,61:1,16,12.1,10.6,81.3,24,13.0,1,21,34,23,21
FOLSOM BORO,15,40,38,39,45,43,46,38,45,47,0,0,0,0,396,NJ-011540,2017-2018,19.4,29.5,48.9,15.8,58.0,NA,37.9,17.5,43.5,0,0,10:1,132:1,39,9.6,8.0,71.8,12,3.1,7,33,43,12,5
GALLOWAY TWP,176,294,351,312,369,363,362,359,376,381,0,0,0,0,3343,NJ-011690,2017-2018,20.3,52.3,43.8,14.1,51.2,NA,45.3,14.7,52.8,0.05288183092013078,0.06096930533117932,11:1,197:1,302,14.9,13.7,81.1,249,7.9,7,41,29,15,9
GREATER EGG HARBOR REG,0,0,0,0,0,0,0,0,0,0,763,739,764,799,3065,NJ-011790,2017-2018,18.1,46.1,47.1,*,*,NA,27.4,*,*,0,0,11:1,102:1,270,13.6,12.5,88.5,601,19.2,4,23,28,22,24
HAMILTON TWP,248,265,270,276,328,311,332,326,354,371,0,0,0,0,3081,NJ-011940,2017-2018,17.4,50.5,49.7,14.5,57.2,0.09166753789858861,35.3,13.0,40.1,NA,NA,12:1,205:1,250,12.1,12.1,81.6,245,8.3,9,34,31,15,11
HAMMONTON TOWN,125,169,184,176,199,192,209,205,330,343,384,343,343,305,3507,NJ-011960,2017-2018,14.2,44.4,56.8,*,*,NA,43.5,10.1,49.6,0.040886927280369904,0.04570958646616541,14:1,185:1,249,12.2,11.2,82.7,524,15.3,4,28,28,19,21
LINWOOD CITY,36,69,80,75,81,85,103,94,97,105,0,0,0,0,825,NJ-012680,2017-2018,21.0,8.1,82.5,46.3,89.1,0.3419470699432892,68.0,33.3,74.2,0.15773156899810964,0.17566315789473683,11:1,138:1,73,14.3,11.2,83.6,48,6.1,2,36,37,17,9
MAINLAND REGIONAL,0,0,0,0,0,0,0,0,0,0,316,299,306,322,1243,NJ-012910,2017-2018,17.6,26.2,63.0,18.0,72.9,NA,42.1,*,*,0,0,11:1,124:1,110,15.6,13.4,89.1,120,9.6,5,33,34,16,12
MARGATE CITY,2,37,29,31,43,50,48,41,42,41,0,0,0,0,364,NJ-013020,2017-2018,18.7,9.9,80.7,46.8,88.4,NA,78.4,36.2,87.9,NA,NA,7:1,73:1,52,15.9,14.6,76.9,19,5.2,3,40,35,15,6
MULLICA TWP,46,51,74,76,76,80,87,82,68,85,0,0,0,0,725,NJ-013480,2017-2018,17.9,24.6,53.6,19.8,61.4,NA,42.3,18.4,47.8,0.03578021978021978,0.04111111111111111,13:1,145:1,56,9.9,6.8,50.9,46,6.8,4,34,36,16,10
NORTHFIELD CITY,12,91,94,97,109,95,103,101,101,102,0,0,0,0,905,NJ-013720,2017-2018,19.6,20.3,58.7,20.8,67.2,NA,54.8,22.8,61.9,0.07105357142857144,0.07756335282651074,10:1,181:1,91,9.2,7.9,56.8,40,4.5,4,37,37,14,7
PLEASANTVILLE CITY,519,280,294,254,295,257,256,277,234,261,192,184,207,169,3679,NJ-014180,2017-2018,16.2,80.3,27.2,*,*,NA,*,*,*,0.0056252949504483245,0.006224543080939947,11:1,153:1,342,11.5,9.9,83.9,562,17.7,5,30,29,16,19
PORT REPUBLIC CITY,0,12,11,12,15,16,12,12,8,17,0,0,0,0,115,NJ-014240,2017-2018,14.8,16.5,76.3,21.4,87.8,NA,52.6,21.4,59.1,0,0,8:1,115:1,14,10.4,9.5,72.7,15,12.8,3,24,34,21,17
SOMERS POINT CITY,79,110,90,111,86,78,91,88,93,91,0,0,0,0,917,NJ-014800,2017-2018,21.4,66.1,41.3,*,*,NA,27.3,*,*,0,0,9:1,131:1,104,10.2,9.7,71.2,97,11.4,7,36,29,15,13
VENTNOR CITY,71,61,61,64,70,70,95,58,64,68,0,0,0,0,682,NJ-015350,2017-2018,14.5,60.1,57.2,26.6,62.8,NA,45.6,25.0,49.4,0,0,10:1,114:1,69,19.7,16.8,97.1,80,13.0,7,31,28,17,16
WEYMOUTH TWP,18,12,16,21,11,20,13,17,16,12,0,0,0,0,156,NJ-015760,2017-2018,27.6,55.8,48.3,10.5,58.6,NA,49.5,31.6,54.3,0,0,8:1,52:1,20,14.1,8.9,65.0,17,12.1,2,26,34,20,18
ALLENDALE BORO,18,80,88,100,98,81,101,110,119,111,0,0,0,0,906,NJ-030040,2017-2018,11.0,0.6,89.9,*,*,0.4931466227347612,86.3,*,*,0.2991542288557214,0.3131770833333334,12:1,151:1,77,11.1,11.1,74.0,35,3.9,5,49,29,12,5
ALPINE BORO,0,16,21,15,13,18,20,17,11,17,0,0,0,0,148,NJ-030080,2017-2018,12.2,0,91.6,80.0,92.9,NA,83.5,30.0,89.6,0,0,6:1,37:1,25,12.4,8.1,80.0,16,10.6,2,27,32,17,22
BERGEN CO SPECIAL SERVICE,35,27,18,25,39,53,38,34,39,52,48,74,33,180,695,NJ-030285,2017-2018,99.4,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3:1,41:1,216,16.3,13.8,80.5,NA,NA,NA,NA,NA,NA,NA
BERGEN COUNTY VOCATIONAL,0,0,0,0,0,0,0,0,0,0,595,586,574,517,2272,NJ-030290,2017-2018,17.6,12.1,85.4,22.5,98.5,0.6354652686762778,83.8,29.9,93.5,0.3235579514824798,0.3235579514824798,10:1,103:1,230,12.8,10.8,71.7,101,4.7,7,42,29,15,7
BERGENFIELD BORO,104,205,213,252,276,253,266,286,262,289,273,293,278,331,3581,NJ-030300,2017-2018,16.1,35.9,67.1,18.2,75.8,0.21753635230577484,49.3,*,*,0.06479524438573316,0.07033938814531548,13:1,188:1,276,12.8,11.7,80.1,87,2.5,13,48,27,9,3
BOGOTA BORO,26,73,73,97,86,76,79,80,86,100,82,82,97,74,1111,NJ-030440,2017-2018,18.1,48.5,67.9,16.3,79.3,NA,48.6,*,*,0.040067024128686325,0.044812593703148426,12:1,159:1,95,11.4,11.0,75.8,78,6.9,5,38,30,17,10
CARLSTADT BORO,36,55,50,52,54,66,53,59,63,56,0,0,0,0,544,NJ-030740,2017-2018,17.6,27.6,61.5,22.4,69.7,NA,40.3,15.8,45.3,0,0,12:1,109:1,44,12.9,12.0,84.1,46,8.9,3,30,33,19,15
CARLSTADT-EAST RUTHERFORD,0,0,0,0,0,0,0,0,0,0,121,122,105,120,468,NJ-030745,2017-2018,14.2,32.5,58.9,23.5,64.6,NA,19.8,*,*,0,0,11:1,67:1,41,13.8,12.0,78.0,50,10.0,3,27,33,21,15
CLIFFSIDE PARK BORO,136,215,217,205,230,194,178,194,198,186,334,303,270,258,3118,NJ-030890,2017-2018,17.2,57.1,56.5,23.3,63.7,0.14737536656891495,45.4,15.7,51.6,0.06650447427293064,0.07335595311536089,13:1,208:1,243,8.9,8.9,67.4,277,9.1,6,40,30,13,11
CLOSTER BORO,45,126,113,121,136,129,127,126,119,135,0,0,0,0,1177,NJ-030930,2017-2018,15.6,0.9,87.2,49.6,94.2,0.4720161290322581,78.0,32.2,86.2,NA,NA,12:1,168:1,95,13.5,11.7,74.7,50,4.4,7,42,29,13,9
CRESSKILL BORO,27,114,118,130,162,170,153,138,141,152,129,133,134,146,1847,NJ-030990,2017-2018,13.8,0.8,81.4,43.7,87.5,NA,71.1,36.3,77.0,0.14136722173531988,0.1523135033050047,13:1,142:1,147,10.2,9.8,82.3,57,3.1,11,45,27,12,5
DEMAREST BORO,40,50,64,65,81,74,83,80,74,81,0,0,0,0,692,NJ-031070,2017-2018,16.6,0.4,86.2,48.1,94.2,0.4000436681222708,77.1,38.0,85.2,0.22405639913232103,0.2519268292682927,9:1,115:1,73,11.1,9.2,63.0,21,3.2,6,38,34,16,6
DUMONT BORO,43,170,176,142,181,203,191,190,197,205,208,196,193,194,2489,NJ-031130,2017-2018,13.8,10.3,75.6,36.3,82.0,NA,58.7,*,*,0.04676196032672112,0.05105095541401274,12:1,138:1,213,12.6,12.5,84.0,171,6.8,6,40,29,14,11
EAST RUTHERFORD BORO,40,110,84,72,77,80,87,81,96,82,0,0,0,0,809,NJ-031230,2017-2018,16.2,31.9,60.0,*,*,NA,48.3,*,*,0.030384615384615385,0.03450574712643678,11:1,162:1,74,12.0,11.2,78.4,45,5.7,6,33,34,19,7
EDGEWATER BORO,82,184,129,130,121,115,102,97,0,0,0,0,0,0,960,NJ-031270,2017-2018,10.3,9.7,61.9,11.4,68.0,0.1855048076923077,49.6,*,*,0.06093023255813954,0.06093023255813954,14:1,160:1,71,9.0,7.0,60.6,69,7.7,5,33,31,17,14
ELMWOOD PARK,64,187,170,209,184,207,257,186,192,204,196,181,162,186,2585,NJ-031345,2017-2018,17.7,41.2,54.5,16.9,62.1,NA,37.9,10.3,43.5,0.035651658767772515,0.03946229508196722,14:1,235:1,184,8.1,6.8,54.3,352,13.6,6,38,30,14,12
EMERSON BORO,56,70,83,74,87,75,75,97,74,78,71,90,78,2,1010,NJ-031360,2017-2018,15.6,7.7,68.2,32.1,75.0,NA,54.2,29.4,58.8,0.020465116279069766,0.02192691029900332,10:1,92:1,100,10.0,7.9,71.0,26,2.4,7,45,35,9,4
ENGLEWOOD CITY,212,201,196,209,186,194,200,182,184,187,270,268,263,279,3031,NJ-031370,2017-2018,16.2,63.5,47.5,12.8,54.1,NA,25.1,*,*,0,0,11:1,132:1,284,10.3,9.7,73.9,358,12.5,7,31,30,17,15
ENGLEWOOD CLIFFS BORO,16,47,54,46,57,61,46,70,48,45,0,0,0,0,490,NJ-031380,2017-2018,15.3,0,92.8,60.0,98.2,NA,81.2,38.6,88.0,0.34981191222570535,0.34981191222570535,8:1,98:1,58,11.4,10.4,70.7,12,2.5,15,56,22,6,2
FAIR LAWN BORO,59,356,372,402,363,401,383,372,388,393,372,375,353,376,4965,NJ-031450,2017-2018,20.9,9.7,76.9,42.3,86.1,0.32355603448275866,71.0,36.9,79.8,0.15157238734419942,0.16433471933471933,12:1,184:1,421,13.0,11.3,77.0,290,5.8,6,37,33,16,9
FAIRVIEW BORO,97,175,171,157,172,119,150,148,109,138,0,0,0,0,1436,NJ-031470,2017-2018,18.0,64.8,39.6,*,*,NA,26.9,*,*,0,0,16:1,160:1,89,12.5,10.8,67.4,208,15.4,3,33,30,16,19
FORT LEE BORO,65,347,351,365,312,346,329,296,283,324,218,228,242,236,3942,NJ-031550,2017-2018,13.4,16.5,77.0,34.5,83.2,0.34850222042793705,63.6,*,*,0.15859154929577465,0.1597163120567376,13:1,188:1,298,11.4,10.2,77.5,265,6.8,10,42,26,12,10
FRANKLIN LAKES BORO,56,98,95,101,121,118,139,126,147,146,0,0,0,0,1147,NJ-031580,2017-2018,21.4,0.7,81.9,49.7,90.0,0.3440156453715776,68.4,38.7,75.8,0.14260078023407025,0.1586975397973951,8:1,127:1,145,11.3,11.3,80.0,59,5.5,4,33,40,16,7
GARFIELD CITY,673,393,345,326,364,360,337,363,319,292,328,258,224,278,4860,NJ-031700,2017-2018,16.9,62.7,*,19.9,60.4,NA,*,15.3,43.6,0.024293517844136924,0.026683999999999996,11:1,128:1,443,11.3,11.3,84.0,478,11.3,4,36,30,16,15
GLEN ROCK BORO,22,187,195,182,204,214,185,198,188,196,210,165,183,196,2525,NJ-031760,2017-2018,20.2,0.7,83.4,52.4,91.5,0.3483224271267103,67.6,35.2,76.1,0.12987718164188752,0.12987718164188752,12:1,168:1,216,13.5,11.1,74.1,107,4.2,4,37,37,15,7
HACKENSACK CITY,313,385,367,421,435,424,389,369,335,354,496,518,437,469,5712,NJ-031860,2017-2018,20.0,59.9,47.2,*,*,0.11862367392518147,32.0,*,*,0.020915472360339277,0.02287587971849008,14:1,173:1,420,11.4,11.4,80.5,644,11.7,6,39,27,14,14
HARRINGTON PARK BORO,14,61,56,82,57,72,53,80,66,72,0,0,0,0,613,NJ-032050,2017-2018,16.3,0,81.4,39.1,89.9,0.3621784776902887,73.4,29.0,81.9,0.14963350785340315,0.16616279069767442,12:1,153:1,53,12.7,10.8,83.0,22,3.6,7,43,31,13,6
HASBROUCK HEIGHTS BORO,15,97,102,123,125,142,150,166,162,159,135,142,141,141,1800,NJ-032080,2017-2018,16.8,15.1,66.3,*,*,NA,59.4,21.9,67.0,0.040625,0.04474845542806708,13:1,180:1,142,14.8,12.6,80.3,75,4.1,7,39,32,15,7
HAWORTH BORO,0,48,31,46,48,50,50,44,49,49,0,0,0,0,415,NJ-032090,2017-2018,14.0,0,86.6,51.0,94.2,NA,73.9,38.0,81.3,0.10266435986159168,0.10948339483394834,10:1,104:1,42,10.3,8.1,52.4,21,5.0,3,33,35,20,8
HILLSDALE BORO,29,114,122,108,118,123,121,123,147,149,0,0,0,0,1154,NJ-032180,2017-2018,22.5,6.7,69.7,30.8,80.7,NA,60.6,23.6,71.1,0.11803947368421051,0.13490225563909775,10:1,144:1,119,11.9,9.9,72.3,63,5.5,3,42,31,15,9
HO HO KUS BORO,11,69,58,47,55,78,68,69,67,82,0,0,0,0,604,NJ-032200,2017-2018,16.1,0,90.6,71.4,94.5,NA,84.5,54.3,90.5,NA,NA,12:1,121:1,49,14.3,12.5,85.7,25,4.2,2,39,36,16,7
LEONIA BORO,33,108,102,105,109,101,112,115,210,207,174,167,172,180,1895,NJ-032620,2017-2018,14.7,15.5,72.1,33.7,78.6,NA,62.5,25.6,68.9,0.10819140308191404,0.12171532846715329,11:1,111:1,175,11.5,10.8,71.4,146,7.8,5,36,30,16,13
LITTLE FERRY BORO,47,97,77,91,94,106,99,102,104,96,0,0,0,0,913,NJ-032710,2017-2018,10.6,42.8,57.1,14.5,62.1,NA,45.1,*,*,0.026110183639398998,0.02934333958724203,12:1,153:1,78,13.3,12.8,67.9,76,8.6,6,35,32,15,12
LODI BOROUGH,136,230,210,213,234,234,250,243,243,238,211,214,214,209,3079,NJ-032740,2017-2018,9.6,55.4,69.7,28.2,76.6,0.19904560413728256,51.1,*,*,0.054543303360151445,0.06043523859465128,13:1,118:1,232,11.3,11.4,78.4,346,11.2,4,28,31,21,16
LYNDHURST TWP,125,171,170,199,162,183,172,202,201,179,178,180,195,199,2516,NJ-032860,2017-2018,15.7,22.6,65.5,26.1,72.8,NA,41.5,13.8,46.2,0.031530612244897956,0.033655547991831174,12:1,114:1,205,7.4,6.5,49.0,345,14.3,2,30,31,19,19
MAHWAH TWP,52,170,205,199,196,231,221,238,206,252,231,246,201,224,2872,NJ-032900,2017-2018,16.5,9.6,76.1,*,*,NA,67.4,*,*,0.12796706416808631,0.1362454655380895,10:1,120:1,276,13.4,11.2,79.0,219,7.7,4,37,34,14,10
MAYWOOD BORO,30,97,117,107,93,115,114,100,111,104,0,0,0,0,988,NJ-033060,2017-2018,13.8,10.6,76.1,*,*,NA,68.0,*,*,0.10071315372424722,0.11491862567811935,13:1,198:1,77,10.2,9.1,72.4,52,5.5,8,46,27,12,8
MIDLAND PARK BORO,40,74,70,71,60,78,60,53,69,79,72,73,77,67,943,NJ-033170,2017-2018,16.2,5.0,76.5,35.3,84.2,NA,57.3,29.3,62.3,0.019129692832764507,0.021111111111111112,9:1,94:1,107,12.9,10.7,69.2,26,2.8,6,45,35,9,4
MONTVALE BORO,22,103,91,95,108,111,106,116,114,134,0,0,0,0,1000,NJ-033330,2017-2018,14.0,2.3,81.3,41.5,87.8,0.3124665676077266,65.7,21.3,73.0,0.11771558245083208,0.13438687392055268,11:1,125:1,89,12.9,10.4,76.4,38,3.9,6,37,33,16,8
MOONACHIE BORO,20,33,30,30,29,30,37,35,37,40,0,0,0,0,321,NJ-033350,2017-2018,16.5,53.3,66.4,18.8,75.8,NA,44.0,*,*,0,0,11:1,107:1,28,9.5,9.4,71.4,23,7.5,9,34,33,13,12
NEW MILFORD BORO,33,157,131,155,152,153,144,151,163,181,112,162,150,169,2013,NJ-033550,2017-2018,19.6,15.2,74.2,29.9,85.2,0.2747148288973384,53.2,18.4,61.8,0.035204633204633205,0.03978184991273997,12:1,144:1,164,12.1,10.2,81.7,63,3.2,8,56,21,9,5
NORTH ARLINGTON BORO,24,110,135,153,151,144,151,140,128,134,150,121,124,110,1775,NJ-033600,2017-2018,14.0,23.5,62.1,18.3,68.3,NA,44.4,10.3,49.4,0.01260575296108291,0.01358249772105743,13:1,118:1,133,13.6,11.6,76.7,122,6.9,4,33,33,19,11
NORTHERN HIGHLANDS REG,0,0,0,0,0,0,0,0,0,0,356,344,327,332,1359,NJ-033700,2017-2018,13.0,0.7,71.8,25.8,79.6,0.24429951690821256,69.3,32.9,74.4,0.11127629733520338,0.11127629733520338,12:1,91:1,115,11.4,11.4,86.1,108,7.7,3,32,34,17,14
NORTHERN VALLEY REGIONAL,43,23,21,9,10,18,14,17,12,21,554,586,547,601,2476,NJ-033710,2017-2018,23.3,1.4,81.4,47.2,87.9,NA,72.7,36.9,78.8,NA,NA,10:1,95:1,246,14.4,12.0,81.3,94,4.1,8,40,31,14,7
NORTHVALE BORO,0,54,58,56,60,61,59,60,54,55,0,0,0,0,517,NJ-033730,2017-2018,14.9,0,79.6,35.2,87.9,NA,65.9,18.5,74.7,0.04002906976744187,0.04413461538461539,11:1,129:1,48,12.5,10.0,70.8,27,5.1,12,40,30,11,7
NORWOOD BORO,0,52,53,63,75,65,77,63,72,78,0,0,0,0,598,NJ-033740,2017-2018,13.2,0,74.2,34.5,80.5,NA,64.1,22.4,70.6,0.15587962962962965,0.17091370558375635,12:1,100:1,50,11.2,10.6,75.5,*,*,22,44,0,0,33
OAKLAND BORO,22,125,136,141,134,140,135,174,163,216,0,0,0,0,1386,NJ-033760,2017-2018,20.6,6.4,75.1,35.0,85.2,0.28793478260869565,61.8,25.3,71.1,0.10084598698481562,0.1220209973753281,10:1,126:1,134,10.1,8.5,66.4,64,4.6,3,38,35,17,7
OLD TAPPAN BORO,0,70,60,63,88,69,68,79,79,84,0,0,0,0,660,NJ-033850,2017-2018,9.7,0,85.5,62.5,87.2,NA,69.9,43.7,72.0,0.11430131004366811,0.12553956834532373,10:1,94:1,64,15.9,13.8,79.4,16,2.4,7,44,29,13,7
ORADELL BORO,16,88,103,100,98,112,121,100,0,0,0,0,0,0,738,NJ-033870,2017-2018,17.6,0.1,81.0,45.9,88.3,0.2914797136038186,70.6,36.1,77.7,0.2095942720763723,0.2095942720763723,12:1,123:1,64,13.3,13.1,82.8,33,4.5,3,38,34,17,8
PALISADES PARK,0,1,136,131,135,140,118,106,1,2,1,0,4,0,775,NJ-033910,2017-2018,11.0,52.5,46.8,*,*,NA,35.1,*,*,0.037428842504743834,0.04135220125786164,N,N,N,N,N,N,197,11.9,7,37,27,14,15
PARAMUS BORO,124,236,237,279,249,286,277,279,302,343,276,292,297,300,3777,NJ-033930,2017-2018,18.9,6.5,70.7,32.3,80.4,NA,62.4,23.7,72.1,0.14186979931473326,0.14865833785985877,11:1,145:1,342,13.3,11.9,83.0,180,4.9,7,41,33,12,8
PARK RIDGE BORO,44,69,97,74,94,92,92,90,93,109,96,83,76,98,1207,NJ-033940,2017-2018,18.9,4.9,80.4,41.1,89.8,NA,66.7,30.2,75.5,0.1569793103448276,0.168109305760709,10:1,75:1,125,13.3,11.2,74.4,63,5.2,3,39,35,14,9
PASCACK VALLEY REGIONAL,0,0,0,0,0,1,1,3,7,1,505,473,533,514,2038,NJ-033960,2017-2018,16.3,2.1,76.8,32.9,85.6,NA,62.0,20.3,70.2,NA,NA,11:1,97:1,178,13.5,10.8,80.3,93,4.6,8,43,29,13,7
RAMAPO-INDIAN HILL REG,0,0,0,0,0,0,0,0,0,0,587,533,565,587,2272,NJ-034300,2017-2018,15.5,2.1,76.7,34.9,84.2,NA,56.5,17.5,62.5,0.02096342551293488,0.02096342551293488,10:1,81:1,221,8.1,8.1,69.2,130,5.6,5,39,34,14,8
RAMSEY BORO,56,185,186,172,202,178,222,223,248,269,208,205,228,200,2782,NJ-034310,2017-2018,12.8,6.0,79.7,*,*,NA,65.7,*,*,0.1427283105022831,0.15502789832610042,11:1,139:1,263,14.1,12.2,82.1,124,4.5,4,38,34,16,8
RIDGEFIELD BORO,77,111,79,112,105,142,130,131,106,112,124,103,141,195,1668,NJ-034370,2017-2018,27.9,30.6,*,*,*,NA,*,21.4,64.5,0.07110526315789473,0.07773302646720368,10:1,111:1,163,14.6,12.5,81.0,97,6.9,10,40,25,15,10
RIDGEFIELD PARK TWP,39,142,137,137,166,161,166,169,155,156,186,222,239,258,2333,NJ-034380,2017-2018,13.5,38.5,57.0,24.3,62.7,NA,31.6,*,*,0.00737603305785124,0.007992537313432836,14:1,156:1,172,14.1,12.8,90.1,*,*,11,33,11,22,22
RIDGEWOOD VILLAGE,48,371,372,409,438,428,457,451,471,505,435,435,440,430,5690,NJ-034390,2017-2018,14.2,2.0,82.6,42.8,89.6,NA,76.1,37.5,83.4,0.18168091168091166,0.18640142903540108,13:1,184:1,435,12.7,11.4,79.5,226,4.0,4,43,34,12,6
RIVER DELL REGIONAL,0,0,0,0,0,0,0,0,298,272,268,262,268,247,1615,NJ-034405,2017-2018,15.1,0.8,76.7,31.7,84.6,NA,69.5,18.2,78.5,0.17652920962199314,0.19631469979296068,12:1,124:1,136,13.3,10.5,77.9,96,6.0,12,53,24,7,3
RIVER EDGE BORO,41,165,165,162,197,150,173,155,0,0,0,0,0,0,1208,NJ-034410,2017-2018,16.2,0,83.4,46.8,89.5,0.277357910906298,79.6,53.2,84.0,0.2550152905198777,0.2550152905198777,12:1,121:1,100,9.8,7.3,64.0,32,2.8,4,42,32,15,6
RIVER VALE TWP,21,107,119,100,116,130,149,120,140,142,0,0,0,0,1144,NJ-034430,2017-2018,13.8,0.4,80.1,40.5,87.3,0.30101152368758005,70.3,29.7,77.7,0.14976923076923077,0.1643037974683544,12:1,143:1,99,14.9,11.1,74.7,23,2.0,7,45,32,11,4
ROCHELLE PARK TWP,20,42,49,49,58,57,54,59,50,52,0,0,0,0,490,NJ-034470,2017-2018,20.8,18.0,58.5,18.3,68.3,NA,42.2,16.7,48.4,0,0,10:1,163:1,47,14.6,12.9,70.2,36,7.6,6,35,32,17,11
RUTHERFORD BORO,74,182,202,181,183,194,216,220,207,193,187,178,204,177,2598,NJ-034600,2017-2018,12.4,6.2,72.4,*,*,NA,51.6,12.8,57.0,0.060031685678073515,0.06256935270805812,12:1,137:1,214,11.4,9.9,72.4,121,4.7,3,32,33,20,12
SADDLE BROOK TWP,60,118,120,114,128,124,149,140,135,133,142,137,117,103,1720,NJ-034610,2017-2018,25.2,18.4,60.8,30.2,71.3,NA,46.1,22.2,54.2,0,0,12:1,143:1,147,10.0,10.0,75.5,8,47.1,18,24,24,6,29
SADDLE RIVER BORO,17,20,19,35,21,23,19,0,0,0,0,0,0,0,154,NJ-034620,2017-2018,16.9,0.6,91.6,*,*,NA,88.2,*,*,0,0,8:1,39:1,19,18.1,14.9,100.0,11,8.0,2,26,39,23,10
SOUTH BERGEN JOINTURE COM,117,25,24,17,19,25,21,20,7,5,5,12,12,37,346,NJ-034845,2017-2018,96.3,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,6:1,39:1,59,11.8,10.9,88.1,NA,NA,NA,NA,NA,NA,NA
SOUTH HACKENSACK TWP,18,29,35,30,26,45,25,23,30,33,0,0,0,0,294,NJ-034870,2017-2018,13.6,36.7,71.1,24.4,84.9,NA,46.7,19.5,54.6,0,0,12:1,74:1,25,8.1,10.8,77.8,32,11.3,3,30,33,16,18
TEANECK TWP,142,218,225,232,247,227,270,263,281,273,291,272,306,347,3594,NJ-035150,2017-2018,25.3,37.8,59.6,25.2,71.8,0.15016971279373367,42.1,*,*,0.051285140562249,0.05647665847665848,10:1,133:1,359,13.2,11.1,70.6,78,2.2,20,53,19,5,3
TENAFLY BORO,23,221,238,269,271,276,293,290,312,323,311,312,284,285,3708,NJ-035160,2017-2018,17.1,2.1,84.3,49.9,92.4,NA,77.6,41.8,85.9,0.2268606557377049,0.23585002130379207,12:1,143:1,312,13.0,10.2,73.7,130,3.5,8,42,30,14,6
UPPER SADDLE RIVER BORO,33,117,94,103,126,129,133,130,149,156,0,0,0,0,1170,NJ-035330,2017-2018,18.4,0.3,88.0,59.0,94.2,0.42674786845310597,85.3,60.4,90.6,0.33417982989064404,0.3628364116094987,11:1,117:1,111,11.2,9.0,70.3,56,4.9,2,34,39,17,9
WALDWICK BORO,25,123,125,126,131,122,127,120,116,131,111,106,98,127,1588,NJ-035410,2017-2018,14.8,0,67.2,34.1,75.3,NA,58.1,*,*,0.07868835257082896,0.08980838323353293,10:1,113:1,154,13.2,11.8,80.7,95,5.9,4,39,31,16,10
