ST_LEAID,SchoolYear,Student_Teacher_District,Student_Admin_District,TeacherCount_District,TeacherAvgYearsExp_District,TeacherAvgYearsExpInDistrict_District,TeacherInDistrict4YearsOrMore_District,Chronic_Abs_Count,Chronic_Abs_Pct,Abs_0,Abs_1-5,Abs_6-10,Abs_11-15,Abs_over15,Students with Disabilities,Economically Disadvantaged Students,DistrictName,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment
NJ-010010,2020-2021,11:1,149:1,80,12.6,11.0,67.5,95,11.3,11.0,43.0,23.0,10.0,13.0,14.8,39.8,Absecon Public Schools District,56,85,95,78,108,91,91,97,93,98,0,0,0,0,892
NJ-010110,2020-2021,10:1,182:1,650,13.7,13.0,79.7,1816,29.8,15.0,30.0,14.0,9.0,32.0,14.3,89.1,Atlantic City School District,352,413,494,449,489,456,477,498,524,502,504,430,364,432,6384
NJ-010120,2020-2021,12:1,130:1,141,8.5,8.3,73.0,222,13.2,9.0,39.0,24.0,11.0,16.0,9.0,54.0,Atlantic County Vocational School District,0,0,0,0,0,0,0,0,0,0,463,432,402,394,1691
NJ-010125,2020-2021,7:1,51:1,47,17.3,15.5,89.4,NA,NA,NA,NA,NA,NA,NA,100.0,44.6,Atlantic County Special Services School District,16,10,14,22,12,19,23,11,24,17,22,21,24,72,307
NJ-010570,2020-2021,7:1,89:1,65,16.6,15.6,75.4,65,16.6,5.0,35.0,28.0,11.0,21.0,17.1,39.3,Brigantine Public School District,55,34,41,47,41,43,37,43,58,46,0,0,0,0,445
NJ-010590,2020-2021,11:1,106:1,149,14.4,12.8,81.2,83,5.4,23.0,43.0,20.0,9.0,6.0,19.7,55.1,Buena Regional School District,112,97,118,114,92,89,109,119,108,105,156,119,131,123,1592
NJ-011300,2020-2021,10:1,130:1,52,8.5,8.1,63.5,134,27.1,7.0,30.0,21.0,12.0,30.0,23.5,76.1,Egg Harbor City School District,35,49,49,62,63,49,57,53,41,61,0,0,0,0,519
NJ-011310,2020-2021,12:1,177:1,626,13.8,12.4,87.2,2026,29.1,7.0,32.0,18.0,11.0,32.0,16.3,27.6,Egg Harbor Township School District,341,379,440,497,505,496,511,576,573,643,546,628,559,565,7259
NJ-011410,2020-2021,12:1,63:1,16,10.1,8.9,62.5,39,20.5,0,30.0,31.0,14.0,25.0,19.5,17.9,Estell Manor School District,0,17,21,23,20,21,21,16,22,27,0,0,0,0,188
NJ-011540,2020-2021,11:1,129:1,36,11.6,9.9,83.3,22,5.8,14.0,48.0,22.0,9.0,8.0,22.5,15.5,Folsom Borough School District,14,35,38,34,41,43,46,47,45,44,0,0,0,0,387
NJ-011690,2020-2021,10:1,178:1,310,14.2,12.8,78.4,300,10.1,17.0,42.0,21.0,9.0,12.0,19.1,35.6,Galloway Township Public School District,233,289,300,310,296,355,318,365,355,383,0,0,0,0,3204
NJ-011790,2020-2021,11:1,99:1,267,13.4,12.6,84.6,525,17.2,9.0,39.0,22.0,11.0,20.0,19.7,41.1,Greater Egg Harbor Regional High School District,0,0,0,0,0,0,0,0,0,0,733,748,787,713,2981
NJ-011940,2020-2021,11:1,191:1,255,12.6,12.6,80.3,246,9.5,20.0,45.0,17.0,7.0,11.0,17.9,0.2,Hamilton Township School District,290,242,246,283,260,295,271,326,321,333,0,0,0,0,2867
NJ-011960,2020-2021,13:1,178:1,254,13.3,12.5,87.0,732,22.0,10.0,33.0,21.0,12.0,24.0,15.4,27.9,Hammonton School District,104,175,178,150,171,183,176,224,310,339,324,355,342,350,3381
NJ-012680,2020-2021,11:1,119:1,73,14.8,12.3,76.7,38,4.7,7.0,55.0,24.0,7.0,6.0,19.0,12.6,Linwood City School District,28,85,77,83,81,87,91,93,89,117,0,0,0,0,831
NJ-012910,2020-2021,11:1,123:1,108,16.7,14.4,91.7,151,12.2,7.0,47.0,23.0,9.0,14.0,19.5,24.3,Mainland Regional High School,0,0,0,0,0,0,0,0,0,0,304,300,305,319,1228
NJ-013020,2020-2021,8:1,76:1,47,17.7,15.8,91.5,23,6.2,10.0,47.0,23.0,13.0,8.0,18.8,5.8,Margate City School District,7,42,42,33,46,31,36,49,47,49,0,0,0,0,382
NJ-013480,2020-2021,11:1,128:1,57,12.5,9.0,68.4,45,7.5,16.0,47.0,21.0,8.0,9.0,19.4,37.2,Mullica Township School District,39,52,62,47,52,70,66,75,82,94,0,0,0,0,639
NJ-013720,2020-2021,11:1,191:1,88,8.8,7.3,51.2,67,7.7,5.0,42.0,31.0,13.0,9.0,19.9,15.6,Northfield City School District,84,85,90,79,92,103,101,111,101,108,0,0,0,0,954
NJ-014180,2020-2021,11:1,186:1,335,9.9,8.6,76.7,618,19.2,11.0,37.0,20.0,10.0,21.0,17.6,69.3,Pleasantville Public School District,323,244,275,253,257,287,273,275,275,266,244,178,232,161,3543
NJ-014240,2020-2021,9:1,106:1,12,10.9,10.9,75.0,24,21.6,5.0,23.0,31.0,18.0,23.0,14.2,0.0,Port Republic School District,0,8,8,15,14,12,11,13,14,11,0,0,0,0,106
NJ-014800,2020-2021,10:1,399:1,80,14.7,14.5,97.5,231,31.0,1.0,27.0,23.0,15.0,34.0,19.8,48.7,Somers Point School District,62,71,70,75,97,75,97,78,82,79,0,0,0,0,786
NJ-015350,2020-2021,8:1,150:1,74,15.8,14.1,74.3,75,13.7,13.0,44.0,19.0,9.0,15.0,16.0,50.5,Ventnor City School District,61,59,56,51,54,58,60,65,58,78,0,0,0,0,600
NJ-015760,2020-2021,9:1,37:1,17,15.4,11.1,70.6,31,23.0,4.0,23.0,28.0,18.0,27.0,22.3,33.8,Weymouth Township School District,14,9,12,17,12,13,25,13,19,14,0,0,0,0,148
NJ-030040,2020-2021,12:1,173:1,70,13.3,13.3,82.9,31,3.7,20.0,57.0,13.0,5.0,5.0,10.5,0.7,Allendale Public School District,21,72,95,69,96,89,117,105,95,104,0,0,0,0,863
NJ-030080,2020-2021,7:1,39:1,24,10.5,7.4,66.7,9,5.7,17.0,53.0,16.0,7.0,8.0,11.5,0.0,Alpine School District,0,19,15,14,16,26,13,12,22,18,0,0,0,0,156
NJ-030285,2020-2021,3:1,38:1,220,14.9,12.7,76.8,NA,NA,NA,NA,NA,NA,NA,99.1,17.2,Bergen County Special Services School District,50,16,20,34,34,23,33,48,61,50,41,48,50,184,692
NJ-030290,2020-2021,10:1,113:1,238,14.1,12.2,79.4,205,8.8,13.0,44.0,21.0,10.0,11.0,16.0,9.4,Bergen County Vocational Technical School District,0,0,0,0,0,0,0,0,0,0,693,622,595,573,2483
NJ-030300,2020-2021,13:1,175:1,287,13.7,12.5,82.6,160,4.5,23.0,55.0,12.0,5.0,5.0,16.0,23.0,Bergenfield Borough School District,136,223,260,248,229,245,291,286,269,292,312,291,319,284,3685
NJ-030440,2020-2021,12:1,120:1,100,11.2,10.7,80.0,132,11.5,16.0,43.0,19.0,8.0,13.0,17.5,35.5,Bogota Public School District,88,69,85,75,76,88,98,99,80,84,84,88,106,82,1202
NJ-030740,2020-2021,11:1,100:1,46,12.3,11.4,73.9,20,4.2,15.0,49.0,21.0,9.0,6.0,16.2,20.0,Carlstadt Public School District,31,50,54,42,46,45,58,55,68,50,0,0,0,0,499
NJ-030745,2020-2021,12:1,71:1,47,14.0,12.9,74.5,48,8.1,9.0,45.0,24.0,11.0,11.0,16.0,18.9,Carlstadt-East Rutherford Regional High School District,0,0,0,0,0,0,0,0,0,0,185,141,116,126,568
NJ-030890,2020-2021,12:1,182:1,248,10.0,10.0,76.5,322,10.6,13.0,45.0,19.0,10.0,13.0,19.4,35.6,Cliffside Park School District,101,199,205,205,198,191,202,225,192,183,314,292,283,306,3096
NJ-030930,2020-2021,12:1,164:1,93,15.3,12.6,75.3,8,0.7,32.0,51.0,12.0,4.0,1.0,15.5,0.1,Closter Public School District,30,92,123,104,128,128,138,144,134,126,0,0,0,0,1147
NJ-030990,2020-2021,12:1,137:1,149,11.8,11.5,83.9,61,3.5,24.0,53.0,14.0,4.0,4.0,15.7,0.7,Cresskill Public School District,28,90,139,116,139,140,139,174,167,152,108,124,130,141,1787
NJ-031070,2020-2021,9:1,117:1,74,12.2,10.2,70.3,13,2.0,30.0,55.0,11.0,2.0,2.0,15.5,0.4,Demarest School District,43,58,63,80,59,84,74,86,70,84,0,0,0,0,701
NJ-031130,2020-2021,12:1,145:1,210,13.5,13.3,87.6,86,3.5,22.0,51.0,17.0,5.0,5.0,13.9,5.5,Dumont Public School District,42,169,182,165,195,182,146,201,206,195,190,193,195,207,2468
NJ-031230,2020-2021,9:1,145:1,79,11.6,10.9,73.4,51,7.3,19.0,48.0,16.0,9.0,9.0,16.2,23.8,East Rutherford School District,34,103,76,74,74,77,59,67,74,89,0,0,0,0,727
NJ-031270,2020-2021,13:1,202:1,48,12.5,11.7,77.1,35,5.8,25.0,47.0,15.0,6.0,7.0,11.7,8.7,Edgewater School District,9,75,98,99,96,67,80,79,0,0,0,0,0,0,607
NJ-031345,2020-2021,13:1,190:1,196,7.3,5.8,45.9,245,9.8,16.0,45.0,19.0,9.0,12.0,16.9,26.6,Elmwood Park School District,38,167,177,180,189,155,212,175,220,239,186,180,180,168,2466
NJ-031360,2020-2021,11:1,112:1,95,10.7,9.3,75.8,38,3.7,17.0,53.0,20.0,6.0,4.0,16.4,6.1,Emerson Public School District,12,76,69,86,62,94,68,91,74,74,76,76,79,75,1012
NJ-031370,2020-2021,11:1,143:1,262,10.9,10.5,73.7,390,14.2,17.0,43.0,16.0,7.0,16.0,14.9,55.0,Englewood Public School District,240,172,195,160,171,183,192,174,187,207,247,260,218,261,2867
