ST_LEAID,SchoolYear,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,DistrictName,ELA_ME_Grade 03,ELA_ME_Grade 04,ELA_ME_Grade 05,ELA_ME_Grade 06,ELA_ME_Grade 07,ELA_ME_Grade 08,ELA_ME_Grade 09,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_ME_Algebra I,MATH_ME_Geometry,MATH_ME_Grade 03,MATH_ME_Grade 04,MATH_ME_Grade 05,MATH_ME_Grade 06,MATH_ME_Grade 07,MATH_ME_Grade 08,MATH_ME_Algebra II,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_District,TeacherAvgYearsExp_District,TeacherAvgYearsExpInDistrict_District,TeacherInDistrict4YearsOrMore_District,Chronic_Abs_Count,Chronic_Abs_Pct,Abs_0,Abs_1-5,Abs_6-10,Abs_11-15,Abs_over15,Students with Disabilities,Economically Disadvantaged Students,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment
NJ-010010,2021-2022,37.7,10.2,42.8,Absecon Public Schools District,28.0,29.5,35.8,48.0,41.1,39.4,NA,0.06467486818980667,31.9,10.3,36.0,68.4,N,40.2,25.0,25.3,27.6,33.7,19.6,NA,0.02790492957746479,0.028670886075949368,11:1,155:1,87,12.9,10.7,64.4,122,15.1,3.0,27.0,32.0,19.0,18.0,15.7,39.9,108,73,81,91,81,105,97,100,97,97,0,0,0,0,930
NJ-010110,2021-2022,25.6,<10%,29.5,Atlantic City School District,21.5,25.2,20.6,26.9,34.4,27.5,21.8,0.045467422096317274,16.1,<10%,18.4,15.4,22.9,21.5,16.8,15.0,15.3,18.6,*,*,0.026106988249845392,0.035633363068688674,10:1,186:1,643,14.0,13.2,78.0,2228,37.9,4.0,18.0,20.0,16.0,41.0,13.8,84.3,472,452,434,452,437,481,424,477,473,519,576,391,346,397,6331
NJ-010120,2021-2022,48.2,14.3,51.5,Atlantic County Vocational School District,NA,NA,NA,NA,NA,NA,48.2,0.06,32.3,<10%,34.7,28.8,49.4,NA,NA,NA,NA,NA,NA,N,0,NA,12:1,123:1,142,8.5,8.3,76.1,273,16.0,4.0,25.0,31.0,19.0,20.0,8.8,39.8,0,0,0,0,0,0,0,0,0,0,490,432,405,391,1718
NJ-010570,2021-2022,40.4,21.4,44.6,Brigantine Public School District,37.1,42.5,40.9,29.4,56.8,40.8,NA,0.05104602510460251,38.3,21.4,42.0,52.9,NA,54.3,37.5,43.2,23.5,56.8,*,NA,0.03376569037656904,0.042473684210526316,6:1,101:1,63,17.6,16.6,79.4,75,21.7,1.0,22.0,31.0,21.0,25.0,18.1,33.7,58,41,29,35,35,40,44,34,37,50,0,0,0,0,403
NJ-010590,2021-2022,25.3,13.0,28.8,Buena Regional School District,31.0,22.3,27.7,17.1,31.4,15.1,24.8,0.023403973509933777,17.3,<10%,19.7,21.3,20.0,22.1,22.1,*,*,23.3,*,N,0.007606382978723405,0.010612244897959184,11:1,97:1,144,14.7,13.2,81.9,316,21.6,2.0,21.0,29.0,23.0,26.0,17.7,54.3,120,95,100,111,112,93,97,109,120,107,111,144,106,120,1545
NJ-011300,2021-2022,<10%,<10%,11.1,Egg Harbor City School District,*,*,15.8,*,11.8,*,NA,NA,<10%,<10%,<10%,33.3,NA,12.7,*,*,*,*,*,NA,0,0,10:1,133:1,56,8.2,7.8,60.7,138,28.3,2.0,22.0,25.0,18.0,33.0,25.8,68.8,45,60,47,45,62,60,54,57,51,51,0,0,0,0,532
NJ-011310,2021-2022,38.9,<10%,45.4,Egg Harbor Township School District,25.7,44.0,35.7,43.4,37.0,49.2,36.3,0.06148844707146696,28.4,10.6,32.3,35.3,62.3,37.9,29.7,25.1,22.3,19.9,10.5,75.0,0.028664163090128755,0.03338766006984866,12:1,182:1,643,13.7,12.4,82.7,1121,16.1,4.0,25.0,30.0,21.0,20.0,17.3,36.6,518,422,437,460,515,522,513,537,620,578,574,565,630,576,7467
NJ-011410,2021-2022,44.0,<10%,57.4,Estell Manor School District,23.8,21.7,75.0,50.0,31.6,65.0,NA,0.05496,32.0,<10%,40.4,72.7,NA,47.6,21.7,20.0,22.7,42.1,*,NA,0.026293103448275866,0.02904761904761905,11:1,60:1,16,13.4,12.5,85.7,65,36.3,1.0,7.0,26.0,23.0,44.0,16.0,0.0,0,18,18,21,21,22,20,22,19,20,0,0,0,0,181
NJ-011540,2021-2022,44.1,14.5,52.2,Folsom Borough School District,40.0,35.6,40.5,40.0,50.0,54.3,NA,0.03188235294117647,34.8,10.9,41.3,100.0,NA,60.0,24.4,47.6,24.4,26.2,*,NA,0.030392156862745098,0.03708133971291866,10:1,125:1,36,12.0,10.3,88.9,26,7.1,2.0,26.0,42.0,19.0,11.0,20.6,12.8,11,34,37,37,35,44,43,45,42,46,0,0,0,0,374
NJ-011690,2021-2022,32.2,13.6,36.4,Galloway Township Public School District,27.7,37.7,38.4,36.9,25.7,25.4,NA,0.03282848545636911,32.6,14.7,36.7,83.7,NA,39.2,34.4,34.3,23.3,32.9,*,NA,0.033810473815461345,0.03604441776710684,10:1,177:1,306,14.4,12.9,79.4,451,15.5,3.0,30.0,30.0,18.0,18.0,18.3,36.6,250,270,306,315,317,302,368,317,386,349,0,0,0,0,3180
