DistrictName,ST_LEAID,SchoolYear,mSGP_ELA,mSGP_Math,mSGP_ELA Grade 4,mSGP_ELA Grade 5,mSGP_ELA Grade 6,mSGP_ELA Grade 7,mSGP_ELA Grade 8,mSGP_Math Grade 4,mSGP_Math Grade 5,mSGP_Math Grade 6,mSGP_Math Grade 7,mSGP_Math Grade 8,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,ELA_ME_Grade 03,ELA_ME_Grade 04,ELA_ME_Grade 05,ELA_ME_Grade 06,ELA_ME_Grade 07,ELA_ME_Grade 08,ELA_ME_Grade 09,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_ME_Algebra I,MATH_ME_Geometry,MATH_ME_Grade 03,MATH_ME_Grade 04,MATH_ME_Grade 05,MATH_ME_Grade 06,MATH_ME_Grade 07,MATH_ME_Grade 08,MATH_ME_Algebra II,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_District,TeacherAvgYearsExp_District,TeacherAvgYearsExpInDistrict_District,PercentageTeacherInDistrict4YearsOrMore_District,PercentageOfOutOfFieldTeachers_District,PercentageTeachersWithProvisionalCredentials_District,Chronic_Abs_Count,Chronic_Abs_Pct,Abs_0,Abs_1-5,Abs_6-10,Abs_11-15,Abs_over15,Students with Disabilities,Economically Disadvantaged Students,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment
Absecon Public Schools District,NJ-010010,2022-2023,52.0,54.0,55.5,59,62,41,42.5,40,53,56,58.5,N,47.4,<10%,55.6,43.6,45.3,43.4,48.5,54.5,48.3,NA,0.08632727272727272,35.5,10.4,40.8,100.0,N,39.7,34.7,29.0,29.0,38.8,21.4,NA,0.04236462093862816,0.04434125269978402,10:1,159:1,93,12.4,9.8,60.9,1.1,7.5,132,16.3,4.0,25.0,31.0,20.0,21.0,17.3,49.4,135,90,74,88,86,75,106,102,105,92,0,0,0,0,953
Atlantic City School District,NJ-010110,2022-2023,48.0,43.0,44.5,45,48,54,47,40,44,48,38,N,29.2,<10%,33.3,20.7,30.0,29.6,25.6,38.2,36.7,20.1,0.062004608294930874,17.3,<10%,19.2,12.8,40.9,19.9,20.3,16.9,17.1,16.0,13.1,*,0.024089552238805968,0.02781393217231897,10:1,185:1,649,14.2,13.2,76.4,0.8,5.5,1809,31.3,5.0,22.0,22.0,16.0,35.0,15.0,87.1,531,463,446,416,439,425,490,418,473,467,520,446,351,406,6291
Brigantine Public School District,NJ-010570,2022-2023,61.0,61.0,62,57,50.5,83,50,60,72,38.5,64.5,N,51.9,14.3,59.1,45.7,44.1,50.0,41.9,78.1,58.8,NA,0.1402336448598131,48.1,17.1,54.1,81.8,NA,57.1,58.8,50.0,41.9,50.0,13.0,NA,0.05602803738317757,0.06111111111111111,6:1,96:1,60,17.2,16.0,86.7,0,5.0,81,24.8,2.0,20.0,23.0,25.0,30.0,18.0,31.5,60,39,39,28,36,35,36,44,33,34,0,0,0,0,384
Buena Regional School District,NJ-010590,2022-2023,38.0,45.0,29,48,28.5,48,33,35,36.5,50.5,52,N,25.8,<10%,31.2,18.2,26.2,34.4,16.8,30.9,32.2,24.2,0.018582474226804126,15.2,<10%,18.2,14.7,18.8,22.5,14.7,17.0,11.2,12.5,10.6,N,0.0055498721227621485,0.008142589118198875,11:1,92:1,141,14.3,13.0,78.0,2.8,2.1,343,23.5,2.0,18.0,31.0,21.0,28.0,18.5,54.4,131,89,95,108,112,109,93,106,111,122,127,107,144,111,1565
Egg Harbor City School District,NJ-011300,2022-2023,35.0,36.0,25.5,31,29.5,46,35,20,41,33.5,43,N,10.3,<10%,13.1,13.0,*,*,10.9,15.9,*,NA,NA,<10%,<10%,<10%,33.3,NA,18.5,*,*,*,*,*,NA,0.006136363636363637,0.007346938775510205,9:1,113:1,60,7.9,7.4,65.0,3.3,13.3,116,23.0,4.0,20.0,26.0,21.0,29.0,24.7,72.5,58,50,64,50,53,57,60,52,63,56,0,0,0,0,563
Egg Harbor Township School District,NJ-011310,2022-2023,45.0,45.0,50,34,45,38,57,40,41,53,44,N,39.6,11.3,46.1,28.6,40.3,37.1,35.1,45.5,45.0,43.6,0.06735924932975872,28.3,11.1,32.3,29.6,56.3,36.9,32.1,24.3,25.9,23.7,10.6,80.4,0.030866204690831556,0.03714785992217899,11:1,175:1,672,13.6,12.2,79.6,3.3,4.8,1261,18.1,3.0,22.0,31.0,21.0,24.0,18.5,45.8,567,435,474,448,487,530,547,529,566,630,546,570,556,647,7532
Estell Manor School District,NJ-011410,2022-2023,43.0,69.0,40,46.5,54,52,41,34,60.5,89,76,N,44.0,24.0,49.0,22.7,28.6,48.0,72.2,57.1,42.1,NA,0.03238095238095238,38.4,12.0,45.0,*,NA,36.4,33.3,28.0,55.6,42.9,20.0,NA,0.02547008547008547,0.027850467289719627,12:1,65:1,16,13.6,12.0,73.3,12.5,12.5,36,20.2,2.0,17.0,30.0,24.0,28.0,20.1,23.7,0,11,21,22,21,22,24,18,21,19,0,0,0,0,179
Folsom Borough School District,NJ-011540,2022-2023,57.0,57.0,82,38,44,67,55,63,53,21,66,N,48.4,17.9,57.1,36.8,72.5,40.4,34.2,55.8,52.4,NA,0.09358870967741936,38.2,10.7,46.2,73.3,NA,31.6,62.5,27.7,31.6,39.5,23.1,NA,0.02854251012145749,0.02912621359223301,9:1,124:1,40,10.1,8.4,77.5,2.5,7.5,39,11.0,2.0,21.0,32.0,29.0,16.0,23.1,20.9,18,36,35,37,38,39,47,38,43,42,0,0,0,0,373
Galloway Township Public School District,NJ-011690,2022-2023,39.0,53.0,49,35,46,29,37.5,57,56.5,47,51,N,32.9,11.2,38.3,19.1,42.9,33.9,35.1,34.4,29.1,NA,0.028632435180477884,34.2,14.4,39.1,84.1,NA,34.9,42.6,39.5,31.9,27.2,10.5,NA,0.032850655903128155,0.03556592039800995,10:1,172:1,311,14.3,12.8,76.8,0.6,5.8,439,15.5,2.0,26.0,31.0,21.0,20.0,19.5,46.1,242,283,273,300,313,311,303,362,327,389,0,0,0,0,3103
Hamilton Township School District,NJ-011940,2022-2023,49.0,47.0,49,42,52,52,49,45,39,56,49.5,N,33.9,11.0,39.9,28.5,35.8,39.1,34.2,33.8,29.9,NA,0.04768959435626102,22.8,<10%,26.1,56.8,*,34.3,27.0,25.9,17.5,15.5,*,N,0.019976470588235293,0.01915948275862069,11:1,181:1,256,12.7,12.6,78.0,0.8,23.4,661,26.0,1.0,17.0,27.0,23.0,33.0,20.7,55.6,358,242,268,273,261,291,276,310,289,325,0,0,0,0,2893
